项目名称,项目URL,提交ID,提交者,提交时间,提交信息,提交链接
taosdata/TDengine,https://github.com/taosdata/TDengine,bffc07a,Mario Peng,2025-12-05T10:52:23Z,enh: stmt2 support vtable query (#33825),https://github.com/taosdata/TDengine/commit/bffc07af133b12b985dac411c5a23a20b2084433
taosdata/TDengine,https://github.com/taosdata/TDengine,358b97a,xinsheng Ren,2025-12-05T09:01:28Z,test: selectValueAliasName (#33770),https://github.com/taosdata/TDengine/commit/358b97aaf148141c50290b09d8a1552461b5f635
taosdata/TDengine,https://github.com/taosdata/TDengine,20761df,WANG MINGMING,2025-12-05T08:59:28Z,fix(tmq): fix dumplicate tag names when insert in case of schemaless_insert/opentsdb_telnet_protocol_taosc_insert.py:986 (#33785),https://github.com/taosdata/TDengine/commit/20761df943a5d0c7ac30b673ec0850e7067edcac
taosdata/TDengine,https://github.com/taosdata/TDengine,24af00c,Tony Zhang,2025-12-05T06:37:27Z,fix: state window handles partititon by error (#33782),https://github.com/taosdata/TDengine/commit/24af00cf40bfbe141e243d6de6df816ab26e6582
taosdata/TDengine,https://github.com/taosdata/TDengine,9cd9937,She Yanjie,2025-12-05T06:27:35Z,docs: update yonghong bi (#33828),https://github.com/taosdata/TDengine/commit/9cd9937be9997102f9545d594aaf3e6c839de0ba
taosdata/TDengine,https://github.com/taosdata/TDengine,2d9cebe,guozhenwei,2025-12-05T03:22:48Z,feat: add taos_connect_with_dsn func (#33816)  * feat: add taos_connect_with_dsn func  * docs: add taos_connect_with_dsn doc,https://github.com/taosdata/TDengine/commit/2d9cebe80f09d52f5c1d723e41cc57b7bbfdeb91
taosdata/TDengine,https://github.com/taosdata/TDengine,c7d16da,haoranchen,2025-12-04T11:13:21Z,docs: delete repetitive and unnecessary text (#33455),https://github.com/taosdata/TDengine/commit/c7d16da5e41de83b4137e448c475df4289bcb6c8
taosdata/TDengine,https://github.com/taosdata/TDengine,f7318f7,Jinqing Kuang,2025-12-04T10:39:06Z,fix(stream): fix stream notification send (#33815),https://github.com/taosdata/TDengine/commit/f7318f788a197f07d0798d7812fefa54e860db00
taosdata/TDengine,https://github.com/taosdata/TDengine,f45df3f,Yihao Deng,2025-12-04T06:44:41Z,enh: optimize the usage logic of read-write locks in RPC communication (#33775),https://github.com/taosdata/TDengine/commit/f45df3f85503abb1d5bd5b5d87d3906093a59239
taosdata/TDengine,https://github.com/taosdata/TDengine,61544cb,haoranchen,2025-12-04T06:32:00Z,test: enable ASAN for UDF test cases (#33798),https://github.com/taosdata/TDengine/commit/61544cb9cf827e915b0073acf066e590f550052f
taosdata/TDengine,https://github.com/taosdata/TDengine,e8b2a57,xinsheng Ren,2025-12-04T06:10:15Z,enh: json tag partition by support (#33741)    * fix: memleak  * fix: use escaped json for show create sql,https://github.com/taosdata/TDengine/commit/e8b2a57e3a6c03b67815df85bc34dc7f7ea7456c
taosdata/TDengine,https://github.com/taosdata/TDengine,d471109,She Yanjie,2025-12-04T06:01:02Z,docs(tdinsight): improve tdinsight v3 dashboard import desc. (#33811)  Closes: 6492139991,https://github.com/taosdata/TDengine/commit/d47110957831cf96d523cb276275fc5322ebb6f4
taosdata/TDengine,https://github.com/taosdata/TDengine,5b478a5,Simon Guan,2025-12-04T05:32:45Z,merge: from 3.3.6 to main #33810,https://github.com/taosdata/TDengine/commit/5b478a56db1ac51f3f3e1f1168f90f990b02c329
taosdata/TDengine,https://github.com/taosdata/TDengine,74f30e3,Simon Guan,2025-12-04T03:17:06Z,fix: remove unused files,https://github.com/taosdata/TDengine/commit/74f30e34155520904895afaf6095fec2c3ac47f1
taosdata/TDengine,https://github.com/taosdata/TDengine,5b072f7,pengrongkun94@qq.com,2025-12-04T03:07:41Z,Merge remote-tracking branch 'origin/3.3.6' into HEAD,https://github.com/taosdata/TDengine/commit/5b072f702c50535c9962160006ed7dfe5367bdb2
taosdata/TDengine,https://github.com/taosdata/TDengine,42a5a6f,Simon Guan,2025-12-04T02:39:33Z,fix:stmt2 async callback core #33808,https://github.com/taosdata/TDengine/commit/42a5a6f7ccdc71d7f2ae338adfff9187c50b5ed8
taosdata/TDengine,https://github.com/taosdata/TDengine,3e448d5,Mario Peng,2025-12-03T06:30:06Z,fix:stmt2 async callback core (#33771),https://github.com/taosdata/TDengine/commit/3e448d5774c51f25a6c27e1518a09d481b2544c2
taosdata/TDengine,https://github.com/taosdata/TDengine,e3ea4ed,Simon Guan,2025-12-04T01:52:59Z,merge: from 3.3.6 to main #33805,https://github.com/taosdata/TDengine/commit/e3ea4ed06f8e3e4c89b48d50b3751d1b0b320901
taosdata/TDengine,https://github.com/taosdata/TDengine,de2632d,haoranchen,2025-12-04T01:51:10Z,fix: update makepkg.sh to streamline packaging for  full_long_time_test (#33774),https://github.com/taosdata/TDengine/commit/de2632d3a7180a03c6547387b007340c213ed6c7
taosdata/TDengine,https://github.com/taosdata/TDengine,087aafe,She Yanjie,2025-12-04T01:32:26Z,docs(TDinsight): fix import TDinsight 3.x dashboard desc. (#33803)  * docs(TDinsight): fix import TDinsight 3.x dashboard desc. Closes: 6492139991  * Update docs/zh/14-reference/01-components/12-tdinsight/index.mdx  Co-authored-by: github-actions[bot] <41898282+github-actions[bot]@users.noreply.github.com>  * Update docs/en/14-reference/01-components/12-tdinsight.md  Co-authored-by: gemini-code-assist[bot] <176961590+gemini-code-assist[bot]@users.noreply.github.com>  ---------  Co-authored-by: github-actions[bot] <41898282+github-actions[bot]@users.noreply.github.com> Co-authored-by: gemini-code-assist[bot] <176961590+gemini-code-assist[bot]@users.noreply.github.com>,https://github.com/taosdata/TDengine/commit/087aafe61ffbe0cc6c6dc49538ca0d979d964a60
taosdata/TDengine,https://github.com/taosdata/TDengine,8d68564,Simon Guan,2025-12-04T01:29:08Z,docs: fix broker links (#33802),https://github.com/taosdata/TDengine/commit/8d685641ebd12f3211ac009e3c43dcb0053f698a
taosdata/TDengine,https://github.com/taosdata/TDengine,b657375,Simon Guan,2025-12-04T01:24:20Z,fix: conflicts,https://github.com/taosdata/TDengine/commit/b6573759d02b75e67e8b2b110c96b30bfb94ec1a
taosdata/TDengine,https://github.com/taosdata/TDengine,06abd72,Simon Guan,2025-12-04T01:16:31Z,fix: conflict while merge en docs,https://github.com/taosdata/TDengine/commit/06abd727e460ca4361fa7dd17e1f626dee0c2d49
taosdata/TDengine,https://github.com/taosdata/TDengine,f6edd83,haoranchen,2025-12-03T12:43:04Z,fix(docs):update link format for IPv6 configuration reference (#33767),https://github.com/taosdata/TDengine/commit/f6edd8304e2587a11c8d9ca9c03e75e340abf917
taosdata/TDengine,https://github.com/taosdata/TDengine,006c66d,haoranchen,2025-12-03T11:48:14Z,docs: update installation guides for TDengine TSDB-OSS Client to version 3.3.8.8 (#33800)  * docs: update installation guides for TDengine TSDB-OSS Client to version 3.3.8.8  * docs: improve formatting and clarity in various documentation files  * docs: update code block syntax for SQL in quick start guide and improve clarity in icinga2 configuration,https://github.com/taosdata/TDengine/commit/006c66d7d8b62bae9dee0bf4b0094a071e077387
taosdata/TDengine,https://github.com/taosdata/TDengine,7779578,Simon Guan,2025-12-03T11:14:22Z,fix: confilcts,https://github.com/taosdata/TDengine/commit/7779578c38d430a4afb26b8f490e276e57e34afe
taosdata/TDengine,https://github.com/taosdata/TDengine,5044b43,Jing Sima,2025-12-03T08:42:34Z,fix: [6487976526] virtual table does not support using same column as reference. (#33781),https://github.com/taosdata/TDengine/commit/5044b431b91ef43c163c3c804eca2764086fbf70
taosdata/TDengine,https://github.com/taosdata/TDengine,4c2c037,Jing Sima,2025-12-03T08:42:21Z,fix: [6487976526] Fix virtual table does not support using same column as reference. (#33780),https://github.com/taosdata/TDengine/commit/4c2c0378fdd7571126fbfb9a4467b8e50d9be0cc
taosdata/TDengine,https://github.com/taosdata/TDengine,2271605,Zhixiao Bao,2025-12-03T08:39:55Z,fix: update config transaction is stuck. (#33793),https://github.com/taosdata/TDengine/commit/22716053d1d8e68f8d223f93b48fd0a4ff80eb76
taosdata/TDengine,https://github.com/taosdata/TDengine,c5091c9,haoranchen,2025-12-03T06:48:52Z,docs: update FAQ for password handling in Docker environments  (#33788)  * docs: update FAQ for password handling in Docker environments for versions 3.3.6.6 to 3.3.8.8  * docs: update FAQ for Docker environments regarding password handling in versions 3.3.6.6 to 3.3.8.8  * docs: clarify instructions for password handling in Docker environments for versions 3.3.6.6 to 3.3.8.4  * docs: fix formatting for Docker password handling instructions in FAQ for versions 3.3.6.6 to 3.3.8.4,https://github.com/taosdata/TDengine/commit/c5091c944dfa80c0b6501740ac6e081d20a6901c
taosdata/TDengine,https://github.com/taosdata/TDengine,6c9f278,Mario Peng,2025-12-03T06:30:06Z,fix:stmt2 async callback core (#33771),https://github.com/taosdata/TDengine/commit/6c9f27877e78bf57487f3661966a54aaabea8f24
taosdata/TDengine,https://github.com/taosdata/TDengine,dcc67fa,WANG Xu,2025-12-02T13:17:15Z,docs: update release note for 3.3.8.8 in office web (#33787)  * docs: update 3.3.8.8 release notes in office web   ---------  Co-authored-by: support-platform <it@taosdata.com> Co-authored-by: chenhaoran <haoran920c@163.com>,https://github.com/taosdata/TDengine/commit/dcc67fa6259eaf8e2c10f3d860af6910de593445
taosdata/TDengine,https://github.com/taosdata/TDengine,7d9dad5,WANG Xu,2025-12-02T11:37:20Z,Merge pull request #33784 from taosdata/docs/linter-fix  docs: fix linter errors,https://github.com/taosdata/TDengine/commit/7d9dad56f4ee53e4a5d99f1ca80a69df38c39126
taosdata/TDengine,https://github.com/taosdata/TDengine,048772e,danielclow,2025-12-02T09:29:25Z,docs: fix linter errors,https://github.com/taosdata/TDengine/commit/048772eeb7e49e8c9448da791a928bdf7ae2ae1f
taosdata/TDengine,https://github.com/taosdata/TDengine,a17272e,WANG Xu,2025-12-02T00:50:31Z,Merge pull request #33776 from taosdata/docs/336-align  docs: align 3.3.6 for release,https://github.com/taosdata/TDengine/commit/a17272eea55b341cb559e10d006b399a292e42ad
