项目名称,项目URL,提交ID,提交者,提交时间,提交信息,提交链接
timescale/timescaledb,https://github.com/timescale/timescaledb,399a82d,Sven Klemm,2025-12-04T17:47:10Z,Remove cagg_try_repair  This is no longer needed and was used to repair caggs created with 1.7.0,https://github.com/timescale/timescaledb/commit/399a82ddf0d6eba14f44fadc4d9bdb91fc8adcff
timescale/timescaledb,https://github.com/timescale/timescaledb,7036785,Fabrízio de Royes Mello,2025-12-04T18:11:09Z,Remove deprecated partialize/finalize functions  This is a following up of #8859 to remove deprecated `partialize_agg` and `finalize_agg` functions.,https://github.com/timescale/timescaledb/commit/703678530c1a60af58e07933c0f821cd8fa2ff95
timescale/timescaledb,https://github.com/timescale/timescaledb,e6a33d0,Fabrízio de Royes Mello,2025-12-04T19:02:41Z,Fix latest-dev.sql EOL character  In #9012 we inadvertently changed the latest-dev.sql EOL character from Unix (CR) to Windows (CRLF).  Fixing it by reverting it back to Unix EOL (CR) character.,https://github.com/timescale/timescaledb/commit/e6a33d0ce62d7832fde46a02771a6021e1584381
timescale/timescaledb,https://github.com/timescale/timescaledb,e8e98ba,Sven Klemm,2025-12-04T11:21:46Z,Move bgw_job table into _timescaledb_catalog schema  This allows us to drop the _timescaledb_config schema and have all catalog tables in the same schema,https://github.com/timescale/timescaledb/commit/e8e98ba50dd3c0ffc1555c416d066d6b6f442add
timescale/timescaledb,https://github.com/timescale/timescaledb,ec2f38c,Alexander Kuzmenkov,2025-12-04T15:23:01Z,Use UTF-8 encoding for make installcheck for APT packages (#9014)  Otherwise there are no collations available to run some of our collation tests.  Also enable scheduled runs on main now that it passes.,https://github.com/timescale/timescaledb/commit/ec2f38c87edc96cbc607b9595f06dde3f938eaaa
timescale/timescaledb,https://github.com/timescale/timescaledb,f712be6,Sven Klemm,2025-12-04T09:14:32Z,Remove _timescaledb_debug schema  To reduce the amount of schemas we have drop the _timescaledb_debug schema since it only had 1 function and move the function to _timescaledb_functions schema.,https://github.com/timescale/timescaledb/commit/f712be6ca3be480627fa89c3092209ed4b8cd443
timescale/timescaledb,https://github.com/timescale/timescaledb,509c759,Sven Klemm,2025-12-04T07:57:01Z,Use latest github release to determine current expected version  The workflows verifying packages used version.config to determine most recent version which required the forward PR to be merged to main branch. This change uses github releases instead which means workflow will use the new version as soon as it is released.,https://github.com/timescale/timescaledb/commit/509c7596f01f9b87438eac4dba07c4133c3954ca
timescale/timescaledb,https://github.com/timescale/timescaledb,5532e29,Sven Klemm,2025-12-03T11:07:18Z,Enable downgrade test for pg18 packages,https://github.com/timescale/timescaledb/commit/5532e2972a54a6655c42a331d6e3f2030cb8cfa5
timescale/timescaledb,https://github.com/timescale/timescaledb,10bcaf4,Philip Krauss,2025-12-04T06:42:35Z,Forwardport 2.24.0 (#9012)  - add up & down files - register CMakeList.txt with 2.24.0  - adjust version.config - remove the shipped .unreleased files,https://github.com/timescale/timescaledb/commit/10bcaf4200c3fd67d177e8a0431ba5216946fb06
timescale/timescaledb,https://github.com/timescale/timescaledb,5007c45,Poroma Banerjee,2025-12-03T04:38:26Z,"Add validation for compression index key limits  Compression creates implicit indexes on compressed chunks using segmentby and orderby columns. Each segmentby column contributes 1 index key, and each orderby column contributes 2 keys (for min and max metadata). This can exceed PostgreSQL's INDEX_MAX_KEYS limit of 32.  Add validate_compression_index_key_limit() to check that the total number of index keys doesn't exceed INDEX_MAX_KEYS when setting up compression.  Fixes #8218",https://github.com/timescale/timescaledb/commit/5007c4504d5267a57261b78ef664063a25c6240b
