项目名称,项目URL,提交ID,提交者,提交时间,提交信息,提交链接
tmux/tmux,https://github.com/tmux/tmux,ef0a7e3,Nicholas Marriott,2025-12-05T06:20:32Z,Merge branch 'tmux-3.6a',https://github.com/tmux/tmux/commit/ef0a7e328c8c407d1a368e326536cf79d8258a09
tmux/tmux,https://github.com/tmux/tmux,cc117b5,Nicholas Marriott,2025-12-05T05:39:46Z,Update CHANGES.,https://github.com/tmux/tmux/commit/cc117b5048f77a4842820f8ebbe3a86e5c077224
tmux/tmux,https://github.com/tmux/tmux,faebe7a,nicm,2025-12-04T20:49:57Z,"Do not read over buffer if format is a single #, and do not loop forever if UTF-8 is unfinished in a format. Reported by Giorgi Kobakhia im GitHub issue 4735.",https://github.com/tmux/tmux/commit/faebe7a70a43958ea69a4ddfa1812da3f97bd621
tmux/tmux,https://github.com/tmux/tmux,01962e2,nicm,2025-12-04T22:50:34Z,"Allow drag in alternate screen again, GitHub issue 4743 reported by Brad King.",https://github.com/tmux/tmux/commit/01962e25dc25b732361fa0b94ce630651891cd33
tmux/tmux,https://github.com/tmux/tmux,ff207eb,nicm,2025-12-04T14:45:32Z,Fix y offset of mouse if status at top. GitHub issue 4738 from Michael Grant.,https://github.com/tmux/tmux/commit/ff207eb5834515580694a4623f7d45233794f7f1
tmux/tmux,https://github.com/tmux/tmux,8e922ab,Thomas Adam,2025-12-05T02:01:07Z,Merge branch 'obsd-master',https://github.com/tmux/tmux/commit/8e922ab6904dd780354be4c401883ccd697998a6
tmux/tmux,https://github.com/tmux/tmux,1a3db6b,Thomas Adam,2025-12-05T00:01:08Z,Merge branch 'obsd-master',https://github.com/tmux/tmux/commit/1a3db6b65e384c67f31a27c21757b737f4fe35cd
tmux/tmux,https://github.com/tmux/tmux,987e05f,nicm,2025-12-04T22:50:34Z,"Allow drag in alternate screen again, GitHub issue 4743 reported by Brad King.",https://github.com/tmux/tmux/commit/987e05ff3162ba943abb77525035c6f27a6b5ba3
tmux/tmux,https://github.com/tmux/tmux,2fc123c,Nicholas Marriott,2025-12-04T20:54:44Z,Update CHANGES.,https://github.com/tmux/tmux/commit/2fc123cf4a72d32f7b8bdbce1223cf583d808354
tmux/tmux,https://github.com/tmux/tmux,3b57077,nicm,2025-12-04T06:04:21Z,"Add a missing skin tone, from Jake Stewart in GitHub issue 4736.",https://github.com/tmux/tmux/commit/3b57077d015a33ec9f7f4571f90f1cfd25132245
tmux/tmux,https://github.com/tmux/tmux,33c1ba1,nicm,2025-12-04T06:02:27Z,"Allow characters to be combined in either order, reported by Jake Stewart in GitHub issue 4726.",https://github.com/tmux/tmux/commit/33c1ba154940461029eb45a9ba047bf8cf7307e7
tmux/tmux,https://github.com/tmux/tmux,bd16b22,nicm,2025-12-04T20:49:57Z,"Do not read over buffer if format is a single #, and do not loop forever if UTF-8 is unfinished in a format. Reported by Giorgi Kobakhia im GitHub issue 4735.",https://github.com/tmux/tmux/commit/bd16b22daca9dba1f6aec63ff2b8fc63b849ef95
tmux/tmux,https://github.com/tmux/tmux,0929d8d,Thomas Adam,2025-12-04T16:01:08Z,Merge branch 'obsd-master',https://github.com/tmux/tmux/commit/0929d8ddfa8ebb8e0b9e31c8830db363ddce8866
tmux/tmux,https://github.com/tmux/tmux,9d6c69e,nicm,2025-12-04T14:45:32Z,Fix y offset of mouse if status at top. GitHub issue 4738 from Michael Grant.,https://github.com/tmux/tmux/commit/9d6c69ebdef6521d830b6911e25b9d969efa9559
tmux/tmux,https://github.com/tmux/tmux,1bcd360,Thomas Adam,2025-12-04T08:01:07Z,Merge branch 'obsd-master',https://github.com/tmux/tmux/commit/1bcd360dfe8428a3d8d27777136669efd2a9a667
tmux/tmux,https://github.com/tmux/tmux,1f2210a,nicm,2025-12-04T06:04:21Z,"Add a missing skin tone, from Jake Stewart in GitHub issue 4736.",https://github.com/tmux/tmux/commit/1f2210a3cec0d3d6e912b31d369bcc5cd62e7046
tmux/tmux,https://github.com/tmux/tmux,2fe1378,nicm,2025-12-04T06:02:27Z,"Allow characters to be combined in either order, reported by Jake Stewart in GitHub issue 4726.",https://github.com/tmux/tmux/commit/2fe1378d3a5bf867895df2344f9f7dbf6d7b88a7
tmux/tmux,https://github.com/tmux/tmux,796539c,Thomas Adam,2025-12-03T10:01:09Z,Merge branch 'obsd-master',https://github.com/tmux/tmux/commit/796539c60bff4e3d4007878e1b5fd3d86d192ecb
tmux/tmux,https://github.com/tmux/tmux,700936b,Thomas Adam,2025-12-03T08:01:07Z,Merge branch 'obsd-master',https://github.com/tmux/tmux/commit/700936b2adb2de9eb044d0b25b12947efca5d20d
tmux/tmux,https://github.com/tmux/tmux,a28dbe3,nicm,2025-12-03T07:41:38Z,Improve code readability in colour_palette_get and colour_palette_set. GitHub issue 4730 from Pavel Roskin.,https://github.com/tmux/tmux/commit/a28dbe3a599ef9baa3878bbb734489f3e352349e
tmux/tmux,https://github.com/tmux/tmux,820df0f,nicm,2025-12-03T07:38:46Z,Add check that the pane is not in alternate screen mode when in copy-mode. From Michael Grant in GitHub issue 4728.,https://github.com/tmux/tmux/commit/820df0f551adc056024ed1d927b31c72bcde262d
tmux/tmux,https://github.com/tmux/tmux,ee9cf1b,nicm,2025-12-03T07:35:32Z,Fix the size caluation for left-right windows used to spread out cells horizontally evenly. From Michael Grant in GitHub issue 4724.,https://github.com/tmux/tmux/commit/ee9cf1bbaad7408807e491b42b4813424b4080fb
