项目名称,项目URL,提交ID,提交者,提交时间,提交信息,提交链接
torvalds/linux,https://github.com/torvalds/linux,2061f18,Linus Torvalds,2025-12-05T04:10:28Z,"Merge tag 'caps-pr-20251204' of git://git.kernel.org/pub/scm/linux/kernel/git/sergeh/linux  Pull capabilities update from Serge Hallyn:  ""Ryan Foster had sent a patch to add testing of the   rootid_owns_currentns() function. That patch pointed out   that this function was not as clear as it should be. Fix it:     - Clarify the intent of the function in the name     - Split the function so that the base functionality is easier to test      from a kunit test""  * tag 'caps-pr-20251204' of git://git.kernel.org/pub/scm/linux/kernel/git/sergeh/linux:   Clarify the rootid_owns_currentns",https://github.com/torvalds/linux/commit/2061f18ad76ecaddf8ed17df81b8611ea88dbddd
torvalds/linux,https://github.com/torvalds/linux,deb879f,Linus Torvalds,2025-12-05T03:42:53Z,"Merge tag 'drm-next-2025-12-05' of https://gitlab.freedesktop.org/drm/kernel  Pull more drm updates from Dave Airlie:  ""There was some additional intel code for color operations we wanted to   land. However I discovered I missed a pull for the xe vfio driver   which I had sorted into 6.20 in my brain, until Thomas mentioned it.    This contains the xe vfio code, a bunch of xe fixes that were waiting   and the i915 color management support. I'd like to include it as part   of keeping the two main vendors on the same page and giving a good   cross-driver experience for userspace when it starts using it.    vfio:    - add a vfio_pci variant driver for Intel    xe/i915 display:    - add plane color management support    xe:    - Add scope-based cleanup helper for runtime PM    - vfio xe driver prerequisites and exports    - fix vfio link error    - Fix a memory leak    - Fix a 64-bit division    - vf migration fix    - LRC pause fix""  * tag 'drm-next-2025-12-05' of https://gitlab.freedesktop.org/drm/kernel: (25 commits)   drm/i915/color: Enable Plane Color Pipelines   drm/i915/color: Add 3D LUT to color pipeline   drm/i915/color: Add registers for 3D LUT   drm/i915/color: Program Plane Post CSC Registers   drm/i915/color: Program Pre-CSC registers   drm/i915/color: Add framework to program PRE/POST CSC LUT   drm/i915: Add register definitions for Plane Post CSC   drm/i915: Add register definitions for Plane Degamma   drm/i915/color: Add plane CTM callback for D12 and beyond   drm/i915/color: Preserve sign bit when int_bits is Zero   drm/i915/color: Add framework to program CSC   drm/i915/color: Create a transfer function color pipeline   drm/i915/color: Add helper to create intel colorop   drm/i915: Add intel_color_op   drm/i915/display: Add identifiers for driver specific blocks   drm/xe/pf: fix VFIO link error   drm/xe: Protect against unset LRC when pausing submissions   drm/xe/vf: Start re-emission from first unsignaled job during VF migration   drm/xe/pf: Use div_u64 when calculating GGTT profile   drm/xe: Fix memory leak when handling pagefault vma   ...",https://github.com/torvalds/linux/commit/deb879faa9d2f327ac5c079d9d1a1747b79260e3
torvalds/linux,https://github.com/torvalds/linux,028bd4a,Linus Torvalds,2025-12-05T03:30:09Z,"Merge tag 'tpmdd-next-6.19-rc1-v4' of git://git.kernel.org/pub/scm/linux/kernel/git/jarkko/linux-tpmdd  Pull tpm updates from Jarkko Sakkinen:  ""This contains changes to unify TPM return code translation between   trusted_tpm2 and TPM driver itself. Other than that the changes are   either bug fixes or minor imrovements""  * tag 'tpmdd-next-6.19-rc1-v4' of git://git.kernel.org/pub/scm/linux/kernel/git/jarkko/linux-tpmdd:   KEYS: trusted: Use tpm_ret_to_err() in trusted_tpm2   tpm: Use -EPERM as fallback error code in tpm_ret_to_err   tpm: Cap the number of PCR banks   tpm: Remove tpm_find_get_ops   tpm: add WQ_PERCPU to alloc_workqueue users   tpm_crb: add missing loc parameter to kerneldoc   tpm_crb: Fix a spelling mistake   selftests: tpm2: Fix ill defined assertions",https://github.com/torvalds/linux/commit/028bd4a14631ea2a1c923930bff96ffd0fda03a6
torvalds/linux,https://github.com/torvalds/linux,16460bf,Linus Torvalds,2025-12-05T03:27:11Z,"Merge tag 'ata-6.19-rc1' of git://git.kernel.org/pub/scm/linux/kernel/git/libata/linux  Pull ata updates from Niklas Cassel:   - Add DT binding for the Eswin EIC7700 SoC SATA Controller (Yulin Lu)   - Allow 'iommus' property in the Synopsys DWC AHCI SATA controller DT    binding (Rob Herring)   - Replace deprecated strcpy with strscpy in the pata_it821x driver    (Thorsten Blum)   - Add Iomega Clik! PCMCIA ATA/ATAPI Adapter PCMCIA ID to the    pata_pcmcia driver (René Rebe)   - Add ATA_QUIRK_NOLPM quirk for two Silicon Motion SSDs with broken LPM    support (me)   - Add flag WQ_PERCPU to the workqueue in the libata-sff helper library    to explicitly request the use of the per-CPU behavior (Marco    Crivellari)  * tag 'ata-6.19-rc1' of git://git.kernel.org/pub/scm/linux/kernel/git/libata/linux:   ata: libata-core: Disable LPM on Silicon Motion MD619{H,G}XCLDE3TC   ata: pata_pcmcia: Add Iomega Clik! PCMCIA ATA/ATAPI Adapter   ata: libata-sff: add WQ_PERCPU to alloc_workqueue users   dt-bindings: ata: snps,dwc-ahci: Allow 'iommus' property   ata: pata_it821x: Replace deprecated strcpy with strscpy in it821x_display_disk   dt-bindings: ata: eswin: Document for EIC7700 SoC ahci",https://github.com/torvalds/linux/commit/16460bf96c31377c14d9f11a6da8c6f508e3443e
torvalds/linux,https://github.com/torvalds/linux,bc69ed9,Linus Torvalds,2025-12-05T02:59:21Z,"Merge tag 'for_linus' of git://git.kernel.org/pub/scm/linux/kernel/git/mst/vhost  Pull virtio updates from Michael Tsirkin:  ""Just a bunch of fixes and cleanups, mostly very simple. Several   features were merged through net-next this time around""  * tag 'for_linus' of git://git.kernel.org/pub/scm/linux/kernel/git/mst/vhost:   virtio_pci: drop kernel.h   vhost: switch to arrays of feature bits   vhost/test: add test specific macro for features   virtio: clean up features qword/dword terms   vduse: add WQ_PERCPU to alloc_workqueue users   virtio_balloon: add WQ_PERCPU to alloc_workqueue users   vdpa/pds: use %pe for ERR_PTR() in event handler registration   vhost: Fix kthread worker cgroup failure handling   virtio: vdpa: Fix reference count leak in octep_sriov_enable()   vdpa/mlx5: Fix incorrect error code reporting in query_virtqueues   virtio: fix map ops comment   virtio: fix virtqueue_set_affinity() docs   virtio: standardize Returns documentation style   virtio: fix grammar in virtio_map_ops docs   virtio: fix grammar in virtio_queue_info docs   virtio: fix whitespace in virtio_config_ops   virtio: fix typo in virtio_device_ready() comment   virtio: fix kernel-doc for mapping/free_coherent functions   virtio_vdpa: fix misleading return in void function",https://github.com/torvalds/linux/commit/bc69ed975203c3ffe34f873531f3052914d4e497
torvalds/linux,https://github.com/torvalds/linux,55aa394,Linus Torvalds,2025-12-05T02:54:37Z,"Merge tag 'for-linus' of git://git.kernel.org/pub/scm/linux/kernel/git/rdma/rdma  Pull rdma updates from Jason Gunthorpe:  ""This has another new RDMA driver 'bng_en' for latest generation   Broadcom NICs. There might be one more new driver still to come.    Otherwise it is a fairly quite cycle. Summary:     - Minor driver bug fixes and updates to cxgb4, rxe, rdmavt, bnxt_re,      mlx5     - Many bug fix patches for irdma     - WQ_PERCPU annotations and system_dfl_wq changes     - Improved mlx5 support for ""other eswitches"" and multiple PFs     - 1600Gbps link speed reporting support. Four Digits Now!     - New driver bng_en for latest generation Broadcom NICs     - Bonding support for hns     - Adjust mlx5's hmm based ODP to work with the very large address      space created by the new 5 level paging default on x86     - Lockdep fixups in rxe and siw""  * tag 'for-linus' of git://git.kernel.org/pub/scm/linux/kernel/git/rdma/rdma: (65 commits)   RDMA/rxe: reclassify sockets in order to avoid false positives from lockdep   RDMA/siw: reclassify sockets in order to avoid false positives from lockdep   RDMA/bng_re: Remove prefetch instruction   RDMA/core: Reduce cond_resched() frequency in __ib_umem_release   RDMA/irdma: Fix SRQ shadow area address initialization   RDMA/irdma: Remove doorbell elision logic   RDMA/irdma: Do not set IBK_LOCAL_DMA_LKEY for GEN3+   RDMA/irdma: Do not directly rely on IB_PD_UNSAFE_GLOBAL_RKEY   RDMA/irdma: Add missing mutex destroy   RDMA/irdma: Fix SIGBUS in AEQ destroy   RDMA/irdma: Add a missing kfree of struct irdma_pci_f for GEN2   RDMA/irdma: Fix data race in irdma_free_pble   RDMA/irdma: Fix data race in irdma_sc_ccq_arm   RDMA/mlx5: Add support for 1600_8x lane speed   RDMA/core: Add new IB rate for XDR (8x) support   IB/mlx5: Reduce IMR KSM size when 5-level paging is enabled   RDMA/bnxt_re: Pass correct flag for dma mr creation   RDMA/bnxt_re: Fix the inline size for GenP7 devices   RDMA/hns: Support reset recovery for bond   RDMA/hns: Support link state reporting for bond   ...",https://github.com/torvalds/linux/commit/55aa394a5ed871208eac11c5f4677cafd258c4dd
torvalds/linux,https://github.com/torvalds/linux,056daec,Linus Torvalds,2025-12-05T02:50:11Z,"Merge tag 'for-linus-iommufd' of git://git.kernel.org/pub/scm/linux/kernel/git/jgg/iommufd  Pull iommufd updates from Jason Gunthorpe:  ""This is a pretty consequential cycle for iommufd, though this pull is   not too big. It is based on a shared branch with VFIO that introduces   VFIO_DEVICE_FEATURE_DMA_BUF a DMABUF exporter for VFIO device's MMIO   PCI BARs. This was a large multiple series journey over the last year   and a half.    Based on that work IOMMUFD gains support for VFIO DMABUF's in its   existing IOMMU_IOAS_MAP_FILE, which closes the last major gap to   support PCI peer to peer transfers within VMs.    In Joerg's iommu tree we have the ""generic page table"" work which aims   to consolidate all the duplicated page table code in every iommu   driver into a single algorithm. This will be used by iommufd to   implement unique page table operations to start adding new features   and improve performance.    In here:     - Expand IOMMU_IOAS_MAP_FILE to accept a DMABUF exported from VFIO.      This is the first step to broader DMABUF support in iommufd, right      now it only works with VFIO. This closes the last functional gap      with classic VFIO type 1 to safely support PCI peer to peer DMA by      mapping the VFIO device's MMIO into the IOMMU.     - Relax SMMUv3 restrictions on nesting domains to better support      qemu's sequence to have an identity mapping before the vSID is      established""  * tag 'for-linus-iommufd' of git://git.kernel.org/pub/scm/linux/kernel/git/jgg/iommufd:   iommu/arm-smmu-v3-iommufd: Allow attaching nested domain for GBPA cases   iommufd/selftest: Add some tests for the dmabuf flow   iommufd: Accept a DMABUF through IOMMU_IOAS_MAP_FILE   iommufd: Have iopt_map_file_pages convert the fd to a file   iommufd: Have pfn_reader process DMABUF iopt_pages   iommufd: Allow MMIO pages in a batch   iommufd: Allow a DMABUF to be revoked   iommufd: Do not map/unmap revoked DMABUFs   iommufd: Add DMABUF to iopt_pages   vfio/pci: Add vfio_pci_dma_buf_iommufd_map()",https://github.com/torvalds/linux/commit/056daec2925dc200b22c30419bc7b9e01f7843c4
torvalds/linux,https://github.com/torvalds/linux,a3ebb59,Linus Torvalds,2025-12-05T02:42:48Z,"Merge tag 'vfio-v6.19-rc1' of https://github.com/awilliam/linux-vfio  Pull VFIO updates from Alex Williamson:   - Move libvfio selftest artifacts in preparation of more tightly    coupled integration with KVM selftests (David Matlack)   - Fix comment typo in mtty driver (Chu Guangqing)   - Support for new hardware revision in the hisi_acc vfio-pci variant    driver where the migration registers can now be accessed via the PF.    When enabled for this support, the full BAR can be exposed to the    user (Longfang Liu)   - Fix vfio cdev support for VF token passing, using the correct size    for the kernel structure, thereby actually allowing userspace to    provide a non-zero UUID token. Also set the match token callback for    the hisi_acc, fixing VF token support for this this vfio-pci variant    driver (Raghavendra Rao Ananta)   - Introduce internal callbacks on vfio devices to simplify and    consolidate duplicate code for generating VFIO_DEVICE_GET_REGION_INFO    data, removing various ioctl intercepts with a more structured    solution (Jason Gunthorpe)   - Introduce dma-buf support for vfio-pci devices, allowing MMIO regions    to be exposed through dma-buf objects with lifecycle managed through    move operations. This enables low-level interactions such as a    vfio-pci based SPDK drivers interacting directly with dma-buf capable    RDMA devices to enable peer-to-peer operations. IOMMUFD is also now    able to build upon this support to fill a long standing feature gap    versus the legacy vfio type1 IOMMU backend with an implementation of    P2P support for VM use cases that better manages the lifecycle of the    P2P mapping (Leon Romanovsky, Jason Gunthorpe, Vivek Kasireddy)   - Convert eventfd triggering for error and request signals to use RCU    mechanisms in order to avoid a 3-way lockdep reported deadlock issue    (Alex Williamson)   - Fix a 32-bit overflow introduced via dma-buf support manifesting with    large DMA buffers (Alex Mastro)   - Convert nvgrace-gpu vfio-pci variant driver to insert mappings on    fault rather than at mmap time. This conversion serves both to make    use of huge PFNMAPs but also to both avoid corrected RAS events    during reset by now being subject to vfio-pci-core's use of    unmap_mapping_range(), and to enable a device readiness test after    reset (Ankit Agrawal)   - Refactoring of vfio selftests to support multi-device tests and split    code to provide better separation between IOMMU and device objects.    This work also enables a new test suite addition to measure parallel    device initialization latency (David Matlack)  * tag 'vfio-v6.19-rc1' of https://github.com/awilliam/linux-vfio: (65 commits)   vfio: selftests: Add vfio_pci_device_init_perf_test   vfio: selftests: Eliminate INVALID_IOVA   vfio: selftests: Split libvfio.h into separate header files   vfio: selftests: Move vfio_selftests_*() helpers into libvfio.c   vfio: selftests: Rename vfio_util.h to libvfio.h   vfio: selftests: Stop passing device for IOMMU operations   vfio: selftests: Move IOVA allocator into iova_allocator.c   vfio: selftests: Move IOMMU library code into iommu.c   vfio: selftests: Rename struct vfio_dma_region to dma_region   vfio: selftests: Upgrade driver logging to dev_err()   vfio: selftests: Prefix logs with device BDF where relevant   vfio: selftests: Eliminate overly chatty logging   vfio: selftests: Support multiple devices in the same container/iommufd   vfio: selftests: Introduce struct iommu   vfio: selftests: Rename struct vfio_iommu_mode to iommu_mode   vfio: selftests: Allow passing multiple BDFs on the command line   vfio: selftests: Split run.sh into separate scripts   vfio: selftests: Move run.sh into scripts directory   vfio/nvgrace-gpu: wait for the GPU mem to be ready   vfio/nvgrace-gpu: Inform devmem unmapped after reset   ...",https://github.com/torvalds/linux/commit/a3ebb59eee2e558e8f8f27fc3f75cd367f17cd8e
torvalds/linux,https://github.com/torvalds/linux,ce5cfb0,Linus Torvalds,2025-12-05T02:05:06Z,"Merge tag 'iommu-updates-v6.19' of git://git.kernel.org/pub/scm/linux/kernel/git/iommu/linux  Pull iommu updates from Joerg Roedel:   - Introduction of the generic IO page-table framework with support for    Intel and AMD IOMMU formats from Jason.     This has good potential for unifying more IO page-table    implementations and making future enhancements more easy. But this    also needed quite some fixes during development. All known issues    have been fixed, but my feeling is that there is a higher potential    than usual that more might be needed.   - Intel VT-d updates:     - Use right invalidation hint in qi_desc_iotlb()     - Reduce the scope of INTEL_IOMMU_FLOPPY_WA   - ARM-SMMU updates:     - Qualcomm device-tree binding updates for Kaanapali and Glymur SoCs       and a new clock for the TBU.     - Fix error handling if level 1 CD table allocation fails.     - Permit more than the architectural maximum number of SMRs for       funky Qualcomm mis-implementations of SMMUv2.   - Mediatek driver:     - MT8189 iommu support   - Move ARM IO-pgtable selftests to kunit   - Device leak fixes for a couple of drivers   - Random smaller fixes and improvements  * tag 'iommu-updates-v6.19' of git://git.kernel.org/pub/scm/linux/kernel/git/iommu/linux: (81 commits)   iommupt/vtd: Support mgaw's less than a 4 level walk for first stage   iommupt/vtd: Allow VT-d to have a larger table top than the vasz requires   powerpc/pseries/svm: Make mem_encrypt.h self contained   genpt: Make GENERIC_PT invisible   iommupt: Avoid a compiler bug with sw_bit   iommu/arm-smmu-qcom: Enable use of all SMR groups when running bare-metal   iommupt: Fix unlikely flows in increase_top()   iommu/amd: Propagate the error code returned by __modify_irte_ga() in modify_irte_ga()   MAINTAINERS: Update my email address   iommu/arm-smmu-v3: Fix error check in arm_smmu_alloc_cd_tables   dt-bindings: iommu: qcom_iommu: Allow 'tbu' clock   iommu/vt-d: Restore previous domain::aperture_end calculation   iommu/vt-d: Fix unused invalidation hint in qi_desc_iotlb   iommu/vt-d: Set INTEL_IOMMU_FLOPPY_WA depend on BLK_DEV_FD   iommu/tegra: fix device leak on probe_device()   iommu/sun50i: fix device leak on of_xlate()   iommu/omap: simplify probe_device() error handling   iommu/omap: fix device leaks on probe_device()   iommu/mediatek-v1: add missing larb count sanity check   iommu/mediatek-v1: fix device leaks on probe()   ...",https://github.com/torvalds/linux/commit/ce5cfb0fa20dc6454da039612e34325b7b4a8243
torvalds/linux,https://github.com/torvalds/linux,5797d10,Linus Torvalds,2025-12-05T01:55:18Z,"Merge tag 'cxl-for-6.19' of git://git.kernel.org/pub/scm/linux/kernel/git/cxl/cxl  Pull compute express link (CXL) updates from Dave Jiang:  ""The additions of note are adding CXL region remove support for locked   CXL decoders, adding unit testing support for XOR address translation,   and adding unit testing support for extended linear cache.    Misc:    - Remove incorrect page-allocator quirk section in documentation    - Remove unused devm_cxl_port_enumerate_dports() function    - Fix typo in cdat.c code comment    - Replace use of system_wq with system_percpu_wq    - Add locked CXL decoder support for region removal    - Return when generic target updated    - Rename region_res_match_cxl_range() to spa_maps_hpa()    - Clarify comment in spa_maps_hpa()    Enable unit testing for XOR address translation of SPA to DPA and vice versa:    - Refactor address translation funcs for testing in cxl_region    - Make the XOR calculations available for testing    - Add cxl_translate module for address translation testing in      cxl_test    Extended Linear Cache changes:    - Add extended linear cache size sysfs attribute    - Adjust failure emission of extended linear cache detection in      cxl_acpi    - Added extended linear cache unit testing support in cxl_test    Preparation refactor patches for PRM translation support:    - Simplify cxl_rd_ops allocation and handling    - Group xor arithmetric setup code in a single block    - Remove local variable @inc in cxl_port_setup_targets()""  * tag 'cxl-for-6.19' of git://git.kernel.org/pub/scm/linux/kernel/git/cxl/cxl: (22 commits)   cxl/test: Assign overflow_err_count from log->nr_overflow   cxl/test: Remove ret_limit race condition in mock_get_event()   cxl/test: remove unused mock function for cxl_rcd_component_reg_phys()   cxl/test: Add support for acpi extended linear cache   cxl/test: Add cxl_test CFMWS support for extended linear cache   cxl/test: Standardize CXL auto region size   cxl/region: Remove local variable @inc in cxl_port_setup_targets()   cxl/acpi: Group xor arithmetric setup code in a single block   cxl: Simplify cxl_rd_ops allocation and handling   cxl: Clarify comment in spa_maps_hpa()   cxl: Rename region_res_match_cxl_range() to spa_maps_hpa()   acpi/hmat: Return when generic target is updated   cxl: Add handling of locked CXL decoder   cxl/region: Add support to indicate region has extended linear cache   cxl: Adjust extended linear cache failure emission in cxl_acpi   cxl/test: Add cxl_translate module for address translation testing   cxl/acpi: Make the XOR calculations available for testing   cxl/region: Refactor address translation funcs for testing   cxl/pci: replace use of system_wq with system_percpu_wq   cxl: fix typos in cdat.c comments   ...",https://github.com/torvalds/linux/commit/5797d10ea4fade7df0f920c368cad07f705afc63
