项目名称,项目URL,提交ID,提交者,提交时间,提交信息,提交链接
valinet/ExplorerPatcher,https://github.com/valinet/ExplorerPatcher,7384790,Amrsatrio,2025-11-03T22:01:29Z,Version: 26100.4946.69.6,https://github.com/valinet/ExplorerPatcher/commit/738479020b4cca11b0dace83cdda344c4e95db3e
valinet/ExplorerPatcher,https://github.com/valinet/ExplorerPatcher,48e1de3,Amrsatrio,2025-11-02T16:06:53Z,Taskbar10: Apply vtable-based hooks to ep_taskbar (#4097),https://github.com/valinet/ExplorerPatcher/commit/48e1de3379d12a221db0fd3f9d2a7e356701c00a
valinet/ExplorerPatcher,https://github.com/valinet/ExplorerPatcher,df7d604,Amrsatrio,2025-11-01T20:20:47Z,"File Explorer: On TIFE-equipped builds, fix 7 command bar menu bar behavior and fix 10 ribbon window saving - ARM64 (#2243, #2676)",https://github.com/valinet/ExplorerPatcher/commit/df7d604169085c375c23bfc82184149ce4ad2e46
valinet/ExplorerPatcher,https://github.com/valinet/ExplorerPatcher,75178ec,Amrsatrio,2025-11-01T18:34:10Z,"File Explorer: On TIFE-equipped builds, fix 7 command bar menu bar behavior and fix 10 ribbon window saving - x64 (#2243, #2676)",https://github.com/valinet/ExplorerPatcher/commit/75178ec35c41dbacc5092844a920188b41bdb52e
valinet/ExplorerPatcher,https://github.com/valinet/ExplorerPatcher,a80d9dc,Amrsatrio,2025-11-01T11:27:14Z,File Explorer: Fix Alt+D not working on builds with modern navigation bar feature flag enabled (#2847),https://github.com/valinet/ExplorerPatcher/commit/a80d9dc8442f58073a82a59dbada65cdc07bc9a6
valinet/ExplorerPatcher,https://github.com/valinet/ExplorerPatcher,80414f5,Amrsatrio,2025-10-31T13:35:32Z,File Explorer: Disable XAML views when Windows 11 command bar is disabled (#3447),https://github.com/valinet/ExplorerPatcher/commit/80414f5a80b03bba3e667cd5e466bd9739ef6613
valinet/ExplorerPatcher,https://github.com/valinet/ExplorerPatcher,47b44cc,Amrsatrio,2025-10-16T03:44:58Z,[skip ci] Update documents,https://github.com/valinet/ExplorerPatcher/commit/47b44ccc45b11ce7aebea9ad893c0766b9de6afd
valinet/ExplorerPatcher,https://github.com/valinet/ExplorerPatcher,206dcf5,Amrsatrio,2025-10-09T01:39:38Z,Version: 26100.4946.69.5,https://github.com/valinet/ExplorerPatcher/commit/206dcf5d6c66122404ad9bd19c0105819e9acfc5
valinet/ExplorerPatcher,https://github.com/valinet/ExplorerPatcher,c08b0a6,Amrsatrio,2025-10-09T01:35:45Z,Start10: Fix 24H2/25H2 fix pattern for ARM64 to have an unintended match on 22H2/23H2,https://github.com/valinet/ExplorerPatcher/commit/c08b0a6a6b2705d18fa50572313e8069ee92f9e3
valinet/ExplorerPatcher,https://github.com/valinet/ExplorerPatcher,891edc2,Miles Prower,2025-10-09T00:14:53Z,Delete .github/workflows/issue-check.yml,https://github.com/valinet/ExplorerPatcher/commit/891edc2cdda16cb3af9ed60db6c86a4c9a961196
valinet/ExplorerPatcher,https://github.com/valinet/ExplorerPatcher,f5eddac,Amrsatrio,2025-09-18T13:27:55Z,Version: 26100.4946.69.4,https://github.com/valinet/ExplorerPatcher/commit/f5eddacd10a8595789906dbaba6f8afa22b9e124
