项目名称,项目URL,提交ID,提交者,提交时间,提交信息,提交链接
valkey-io/valkey,https://github.com/valkey-io/valkey,04d0bba,zhaozhao.zz,2025-12-04T17:34:52Z,support whole cluster info for INFO command in cluster section (#2876)  Allow users to more easily get cluster information.  Signed-off-by: zhaozhao.zz <zhaozhao.zz@alibaba-inc.com>,https://github.com/valkey-io/valkey/commit/04d0bba398afe056a7a269ae46a81da574020ada
valkey-io/valkey,https://github.com/valkey-io/valkey,3d65a4a,Ouri Half,2025-12-04T17:10:09Z,"Fix deadlock in IO thread shutdown during panic (#2898)  ## Problem IO thread shutdown can deadlock during server panic when the main thread calls `pthread_cancel()` while the IO thread holds its mutex, preventing the thread from observing the cancellation.  ## Solution   Release the IO thread mutex before cancelling to ensure clean thread termination.  ## Testing Reproducer: ``` bash ./src/valkey-server --io-threads 2 --enable-debug-command yes ./src/valkey-cli debug panic ```  Before: Server hangs indefinitely After: Server terminates cleanly  Signed-off-by: Ouri Half <ourih@amazon.com>",https://github.com/valkey-io/valkey/commit/3d65a4aecdcfdd72ff1657317657a4cd665bba5f
valkey-io/valkey,https://github.com/valkey-io/valkey,c90e634,Roshan Khatri,2025-12-04T16:33:21Z,"Add PR and Release benchmark with new changes in framework (#2871)  This adds the workflow improvements for PR and Release benchmark where it runs on `c8g.metal-48xl` for `ARM64` and `c7i.metal-48xl` for `X86`.  ``` Cluster mode: disabled TLS: disabled io-threads: 1, 9 Pipelining: 1, 10 Clients: 1600 Benchmark Treads: 90 Data size: 16 ,96 Commands: SET, GET ```  c8g.metal-48xl Spec: https://aws.amazon.com/ec2/instance-types/c8g/ c7i.metal.48xl Spec: https://aws.amazon.com/ec2/instance-types/c7i/  ``` vCPU: 192 NUMA nodes: 2 Memory (GiB): 384 Network Bandwidth (Gbps): 50 ```  PR benchmarking will be executed on **ARM64** machine as it has been seen to be more consistent. Additionally, it runs 5 iterations for each tests and posts the average and other statistical metrics like - CI99%: 99% Confidence Interval - range where the true population mean is likely to fall - PI99%: 99% Prediction Interval - range where a single future observation is likely to fall - CV: Coefficient of Variation - relative variability (σ/μ × 100%)  _Note: Values with (n=X, σ=Y, CV=Z%, CI99%=±W%, PI99%=±V%) indicate averages from X runs with standard deviation Y, coefficient of variation Z%, 99% confidence interval margin of error ±W% of the mean, and 99% prediction interval margin of error ±V% of the mean. CI bounds [A, B] and PI bounds [C, D] show the actual interval ranges._  For comparing between versions, it adds a workflow which runs on both **ARM64** and **X86** machine. It will also post the comparison between the versions like this: https://github.com/valkey-io/valkey/issues/2580#issuecomment-3399539615  ---------  Signed-off-by: Roshan Khatri <rvkhatri@amazon.com> Signed-off-by: Roshan Khatri <117414976+roshkhatri@users.noreply.github.com>",https://github.com/valkey-io/valkey/commit/c90e634f114a0ddecf92eacea4f35e269f89e997
valkey-io/valkey,https://github.com/valkey-io/valkey,70196ee,Rain Valentine,2025-12-03T17:15:45Z,"Add safe iterator tracking in hashtable to prevents invalid access on hashtable delete (#2807)  This makes it safe to delete hashtable while a safe iterator is iterating it. This currently isn't possible, but this improvement is required for fork-less replication #1754 which is being actively worked on.  We discussed these issues in #2611 which guards against a different but related issue: calling hashtableNext again after it has already returned false.  I implemented a singly linked list that hashtable uses to track its current safe iterators. It is used to invalidate all associated safe iterators when the hashtable is released. A singly linked list is acceptable because the list length is always very small - typically zero and no more than a handful.  Also, renames the internal functions:      hashtableReinitIterator -> hashtableRetargetIterator     hashtableResetIterator -> hashtableCleanupIterator  ---------  Signed-off-by: Rain Valentine <rsg000@gmail.com> Signed-off-by: Viktor Söderqvist <viktor.soderqvist@est.tech> Co-authored-by: Viktor Söderqvist <viktor.soderqvist@est.tech>",https://github.com/valkey-io/valkey/commit/70196ee20f1b84d5420acfdfe06c354b01c224dd
valkey-io/valkey,https://github.com/valkey-io/valkey,8ec9381,Harkrishn Patro,2025-12-03T16:17:26Z,Send duplicate multi meet packet only for node which supports it (#2840)  This prevents crashes on the older nodes in mixed clusters where some nodes are running 8.0 or older. Mixed clusters often exist temporarily during rolling upgrades.  Fixes: #2341   Signed-off-by: Harkrishn Patro <harkrisp@amazon.com>,https://github.com/valkey-io/valkey/commit/8ec93819746b14b789205ab2115d62f3dd2e3c54
valkey-io/valkey,https://github.com/valkey-io/valkey,c8341d4,Murad Shahmammadli,2025-12-03T16:07:04Z,Replace strcmp with byte-by-byte comparison in valkey-check-aof (#2809)  Fixes #2792  Replace strcmp with byte-by-byte comparison to avoid accidental heap-buffer-overflow errors.  Signed-off-by: murad shahmammadli <shmurad@amazon.com> Co-authored-by: murad shahmammadli <shmurad@amazon.com>,https://github.com/valkey-io/valkey/commit/c8341d416534e219b12daf79fecc93e1fe76f956
valkey-io/valkey,https://github.com/valkey-io/valkey,2e8fba4,Roshan Khatri,2025-12-02T20:40:20Z,[Test Fix] flaky benchmark test for warmup (#2890)  Fixes: https://github.com/valkey-io/valkey/issues/2859 Increased the warmup to 2 sec so we can verify that it runs more number of commands than the actual benchmark.  Signed-off-by: Roshan Khatri <rvkhatri@amazon.com>,https://github.com/valkey-io/valkey/commit/2e8fba49a21b5dcd13defa6b96ad0f4ecad44142
valkey-io/valkey,https://github.com/valkey-io/valkey,1b5f245,Jim Brunner,2025-12-02T18:14:33Z,"Refactor of LFU/LRU code for modularity (#2857)  General cleanup on LRU/LFU code. Improve modularity and maintainability.  Specifically: * Consolidates the mathematical logic for LRU/LFU into `lrulfu.c`, with an API in `lrulfu.h`. Knowledge of the LRU/LFU implementation was previously spread out across `db.c`, `evict.c`, `object.c`, `server.c`, and `server.h`. * Separates knowledge of the LRU from knowledge of the object containing the LRU value. `lrulfu.c` knows about the LRU/LFU algorithms, without knowing about the `robj`. `object.c` knows about the `robj` without knowing about the details of the LRU/LFU algorithms. * Eliminated `server.lruclock`, instead using `server.unixtime`. This also eliminates the periodic need to call `mstime()` to maintain the lru clock. * Fixed a minor computation bug in the old `LFUTimeElapsed` function (off by 1 after rollover). * Eliminate specific IF checks for rollover, using defined behavior for unsigned rollover instead. * Fixed a bug in `debug.c` which would perform LFU modification on an LRU value.  ---------  Signed-off-by: Jim Brunner <brunnerj@amazon.com> Co-authored-by: Ran Shidlansik <ranshid@amazon.com>",https://github.com/valkey-io/valkey/commit/1b5f245eaecf274f655763f20e30ed4f1966ff41
valkey-io/valkey,https://github.com/valkey-io/valkey,853d111,Zhijun Liao,2025-12-02T14:03:47Z,"Build: Support `make test` when PROG_SUFFIX is used (#2885)  Closes #2883  Support a new environment variable `VALKEY_PROG_SUFFIX` in the test framework, which can be used for running tests if the binaries are compiled with a program suffix. For example, if the binaries are compiled using `make PROG_SUFFIX=-alt` to produce binaries named valkey-server-alt, valkey-cli-alt, etc., run the tests against these binaries using `VALKEY_PROG_SUFFIX=-alt ./runtest` or simply using `make test`.  Now the test with the make variable `PROG_SUFFIX` works well.  ``` % make PROG_SUFFIX=""-alt"" 		... 		... 		CC trace/trace_aof.o     LINK valkey-server-alt     INSTALL valkey-sentinel-alt     CC valkey-cli.o     CC serverassert.o     CC cli_common.o     CC cli_commands.o     LINK valkey-cli-alt     CC valkey-benchmark.o     LINK valkey-benchmark-alt     INSTALL valkey-check-rdb-alt     INSTALL valkey-check-aof-alt  Hint: It's a good idea to run 'make test' ;) %  % make test                                                                 cd src && /Library/Developer/CommandLineTools/usr/bin/make test     CC Makefile.dep     CC release.o     LINK valkey-server-alt     INSTALL valkey-check-aof-alt     INSTALL valkey-check-rdb-alt     LINK valkey-cli-alt     LINK valkey-benchmark-alt Cleanup: may take some time... OK Starting test server at port 21079 [ready]: 39435 Testing unit/pubsub ```  Signed-off-by: Zhijun <dszhijun@gmail.com>",https://github.com/valkey-io/valkey/commit/853d111f479043603385aeb674273c7b0099fe82
valkey-io/valkey,https://github.com/valkey-io/valkey,3fd0942,Zhijun Liao,2025-12-02T13:14:28Z,"Refactor TCL reference to support running tests with CMake (#2816)  Historically, Valkey’s TCL test suite expected all binaries (src/valkey-server, src/valkey-cli, src/valkey-benchmark, etc.) to exist under the src/ directory. This PR enables Valkey TCL tests to run seamlessly after a CMake build — no manual symlinks or make build required.  The test framework accepts a new environment variable `VALKEY_BIN_DIR` to look for the binaries.  CMake will copy all TCL test entrypoints (runtest, runtest-cluster, etc.) into the CMake build dir (e.g. `cmake-build-debug`) and insert `VALKEY_BIN_DIR` into these. Now we can either do ./cmake-build-debug/runtest at the project root or ./runtest at the Cmake dir to run all tests.  A new CMake post-build target prints a friendly reminder after successful builds, guiding developers on how to run tests with their CMake binaries:  ``` Hint: It is a good idea to run tests with your CMake-built binaries ;)       ./cmake-build-debug/runtest  Build finished ```  A helper TCL script `tests/support/set_executable_path.tcl` is added to support this change, which gets called by all test entrypoints: `runtest`, `runtest-cluster`, `runtest-sentinel`.  ---------  Signed-off-by: Zhijun <dszhijun@gmail.com>",https://github.com/valkey-io/valkey/commit/3fd0942279cf4f0eb9f7f52659af2901bde84831
