项目名称,项目URL,提交ID,提交者,提交时间,提交信息,提交链接
ventoy/Ventoy,https://github.com/ventoy/Ventoy,6482f2e,longpanda,2025-08-18T15:20:15Z,1.1.07 release,https://github.com/ventoy/Ventoy/commit/6482f2e7b3b0421a64ca9256b137a5ee93ac53aa
ventoy/Ventoy,https://github.com/ventoy/Ventoy,bd8aebf,longpanda,2025-08-18T15:19:14Z,Merge branch 'master' of https://github.com/Ventoy/Ventoy,https://github.com/ventoy/Ventoy/commit/bd8aebf166bd9a7a5f2fc0f54baf2aff3bea74cd
ventoy/Ventoy,https://github.com/ventoy/Ventoy,3c05d55,longpanda,2025-08-18T15:19:00Z,Fix the issue (introduced in 1.1.06) that the Ventoy ISO partition cannot be mounted after boot linux distro.,https://github.com/ventoy/Ventoy/commit/3c05d55b8a2bd358ca380a91d3d5bdcbfed937fa
ventoy/Ventoy,https://github.com/ventoy/Ventoy,92ed0c9,longpanda,2025-08-18T03:59:04Z,Update README.md,https://github.com/ventoy/Ventoy/commit/92ed0c995e608e2d586f16471758c1b13338d401
ventoy/Ventoy,https://github.com/ventoy/Ventoy,dc7e310,longpanda,2025-08-18T03:56:48Z,Update README.md,https://github.com/ventoy/Ventoy/commit/dc7e310828812f77919ecd06daba451a29e932ac
ventoy/Ventoy,https://github.com/ventoy/Ventoy,67d7091,longpanda,2025-08-18T03:16:07Z,1.1.06 release,https://github.com/ventoy/Ventoy/commit/67d70912559e29d0e5d15f6f5976b84ae4da6eca
ventoy/Ventoy,https://github.com/ventoy/Ventoy,2ab1474,longpanda,2025-08-17T15:56:35Z,Fix the issue that cannot boot Tails 6.13+ (#3171),https://github.com/ventoy/Ventoy/commit/2ab1474694599d3ad9946bbf1578e7817371b183
ventoy/Ventoy,https://github.com/ventoy/Ventoy,aa7a77d,longpanda,2025-08-17T15:08:09Z,Fix the order issue in TreeView mode. (#3218),https://github.com/ventoy/Ventoy/commit/aa7a77df5a11528d086901b6b932959a533acb0b
ventoy/Ventoy,https://github.com/ventoy/Ventoy,4790ded,longpanda,2025-08-17T14:41:16Z,Fix the order issue in TreeView mode. (#3218),https://github.com/ventoy/Ventoy/commit/4790dedbb19821794c1cf4bfeb671c5be8c19043
ventoy/Ventoy,https://github.com/ventoy/Ventoy,de085ba,longpanda,2025-08-17T09:50:17Z,Fix the order issue in TreeView mode. (#3218),https://github.com/ventoy/Ventoy/commit/de085ba086d22887ca1632fed2508150570efc90
ventoy/Ventoy,https://github.com/ventoy/Ventoy,bb94ec6,longpanda,2025-08-16T16:05:44Z,Fix Libreelec 12.2.0 fails to boot #3323,https://github.com/ventoy/Ventoy/commit/bb94ec6d6f7c0d0b957d6b83ee62c5d31b0ed55b
ventoy/Ventoy,https://github.com/ventoy/Ventoy,b989266,fsLeg,2025-08-05T01:10:33Z,Fix the boot issue for Parted Magic (#3304),https://github.com/ventoy/Ventoy/commit/b9892660b5b5467d17fe6a690b16ea1194fd9f27
ventoy/Ventoy,https://github.com/ventoy/Ventoy,0e9d344,A1ive,2025-07-07T01:21:53Z,Update xfs to latest (#3284)  Thanks!,https://github.com/ventoy/Ventoy/commit/0e9d34422a45dd9e7ee01790c15fa92eae4d76b7
ventoy/Ventoy,https://github.com/ventoy/Ventoy,c7c9c62,longpanda,2025-05-22T04:55:41Z,Update BLOB_List.md,https://github.com/ventoy/Ventoy/commit/c7c9c62ec762abf2817c9c99a0c704567a2b02aa
ventoy/Ventoy,https://github.com/ventoy/Ventoy,9e13955,longpanda,2025-05-14T06:35:44Z,Add BLOB list file and some missing build desc.,https://github.com/ventoy/Ventoy/commit/9e13955af1cfce822310db3be38c073b37cdca9e
ventoy/Ventoy,https://github.com/ventoy/Ventoy,2dafe75,longpanda,2025-03-03T06:42:44Z,Fix the boot issue for TrueNAS Scale. (#3069),https://github.com/ventoy/Ventoy/commit/2dafe755097057a4faf5e240f0abc98b9b4cdcb8
ventoy/Ventoy,https://github.com/ventoy/Ventoy,6fbc08c,longpanda,2025-02-28T06:58:36Z,Only for VirtualBox.,https://github.com/ventoy/Ventoy/commit/6fbc08cfcbfdf97fa2457739f47dced84d857799
ventoy/Ventoy,https://github.com/ventoy/Ventoy,6034b25,longpanda,2025-02-28T06:49:40Z,Don't force to use max resolution for VMware/VirtualBox. (#3140),https://github.com/ventoy/Ventoy/commit/6034b25cbaa5b35679673c05142aa8e425ac7b95
ventoy/Ventoy,https://github.com/ventoy/Ventoy,c5fd64d,longpanda,2025-02-26T15:25:27Z,Support TrueNAS Scale (Linux) distro. (#3069 #3137),https://github.com/ventoy/Ventoy/commit/c5fd64d21c4e0fb79d6d84015da85caa7023f0bc
ventoy/Ventoy,https://github.com/ventoy/Ventoy,32fac72,longpanda,2025-02-24T11:29:46Z,1.1.05,https://github.com/ventoy/Ventoy/commit/32fac72b5b3e024fcb9e4a8a3620ddcee0d54d8c
ventoy/Ventoy,https://github.com/ventoy/Ventoy,022322c,longpanda,2025-02-24T11:17:19Z,Fix the resolution issue when boot Windows/WinPE in UEFI mode.,https://github.com/ventoy/Ventoy/commit/022322c8faf52d22af31617a36ca08efee63920a
