项目名称,项目URL,提交ID,提交者,提交时间,提交信息,提交链接
videolan/vlc,https://github.com/videolan/vlc,df5039d,Thomas Guillem,2025-12-02T10:06:26Z,test: player: pause: ensure outputs are paused via timers  And that no frame is rendered once we receive the PAUSED event.,https://github.com/videolan/vlc/commit/df5039d94d252e8d4a0703e5eb45c9e9db53b2f3
videolan/vlc,https://github.com/videolan/vlc,d0036e7,Thomas Guillem,2025-12-02T10:23:08Z,test: player: timers: add smpte.on_paused,https://github.com/videolan/vlc/commit/d0036e7677a288d5aff342982c01151a04a162bb
videolan/vlc,https://github.com/videolan/vlc,3eceb8c,Thomas Guillem,2025-12-02T09:21:00Z,test: player: timers: add wait helpers  Current timer tests are fetching reports when the player is stopped and does not require any lock or wait mechanism. Add lock/cond and helpers in order to allow fetching timer reports when the player is running.,https://github.com/videolan/vlc/commit/3eceb8cce01ef215021e692f5779b28d0cc87dfd
videolan/vlc,https://github.com/videolan/vlc,d4b3e9f,Thomas Guillem,2025-12-02T14:37:07Z,player: handle pause events from outputs  And remove the hack that forced the es_source when paused.  Each timers will now receive the pause event from its es_source.,https://github.com/videolan/vlc/commit/d4b3e9f7cc5909a16156e8f9d9d442bb34879fd4
videolan/vlc,https://github.com/videolan/vlc,b9158c8,Thomas Guillem,2025-12-02T14:36:33Z,es_out: implement on_output_paused,https://github.com/videolan/vlc/commit/b9158c848237bb818993d69c3b79cafc5e54a9ff
videolan/vlc,https://github.com/videolan/vlc,9306721,Thomas Guillem,2025-12-02T14:36:06Z,input: add INPUT_EVENT_OUTPUT_STATE event  To notify that an output is paused from the decoder.,https://github.com/videolan/vlc/commit/93067215ff51c33b6329710bb621775dba0fd56e
videolan/vlc,https://github.com/videolan/vlc,608a4cd,Thomas Guillem,2025-12-02T14:35:19Z,decoder: add on_output_paused event,https://github.com/videolan/vlc/commit/608a4cd8ca45466239c226b2d5c5630f09159644
videolan/vlc,https://github.com/videolan/vlc,a5b719e,Thomas Guillem,2025-12-02T09:18:12Z,player: add on_paused event for timer_smpte,https://github.com/videolan/vlc/commit/a5b719e7a5ff6d39f1caca4e26172b5901454415
videolan/vlc,https://github.com/videolan/vlc,e4b1d76,Thomas Guillem,2025-11-21T11:10:36Z,aout: assert Play() is not called paused,https://github.com/videolan/vlc/commit/e4b1d76b66172583223e218b7bb36952e670707a
videolan/vlc,https://github.com/videolan/vlc,216810b,Thomas Guillem,2025-11-20T13:45:15Z,es_out: remove always true argument,https://github.com/videolan/vlc/commit/216810b44d7bcca6ade82ccde8c984fa1abf0b60
videolan/vlc,https://github.com/videolan/vlc,6b95cfb,Steve Lhomme,2025-12-02T10:39:13Z,"tools: allow newer major versions  When the user has CMake 4.x we should not build CMake 3.x because we require at least 3.21.0.  This matching major version was introduced for protoc in ee5fad6a354d4fde1bb98f715e0455c603599554. But it has moved to contribs and other tools (not matching a library) should be backward compatible.  If there is another tool that needs to match the major version exactly, we should at a special check for that.",https://github.com/videolan/vlc/commit/6b95cfb4a6aef7176ca0e8312b45998e17c040d0
videolan/vlc,https://github.com/videolan/vlc,5151a90,Fatih Uzunoglu,2025-12-01T17:27:53Z,"qml: fix anchoring of the layer effect in `MainDisplay`  This bug is currently asymptomatic because `stackViewParent` and `mainRow` (its parent) have the same size.  We can anchor to the sibling like we do for visual parent, so this is a trivial fix.",https://github.com/videolan/vlc/commit/5151a90a98f1b65361f48fdf3ad5f0fe6f5f7436
