项目名称,项目URL,提交ID,提交者,提交时间,提交信息,提交链接
vurtun/nuklear,https://github.com/vurtun/nuklear,6b9f937,vurtun,2019-12-01T23:01:55Z,Preserve old nuklear version,https://github.com/vurtun/nuklear/commit/6b9f937475db9280d966f44f469bc80191b5092a
vurtun/nuklear,https://github.com/vurtun/nuklear,adc52d7,dumblob,2019-10-01T13:10:14Z,Merge pull request #918 from crazyBaboon/master  comment icon_load() as it is not being used currently,https://github.com/vurtun/nuklear/commit/adc52d710fe3c87194b99f540c53e82eb75c2521
vurtun/nuklear,https://github.com/vurtun/nuklear,1de7702,crazyBaboon,2019-10-01T09:30:30Z,update comment related to icon_load(),https://github.com/vurtun/nuklear/commit/1de7702b8486fbefc33e6923478bf99b5808a455
vurtun/nuklear,https://github.com/vurtun/nuklear,f7e7947,crazyBaboon,2019-10-01T09:29:34Z,"comment out icon_load()  As suggested, altought icon_load() is not used to build this example/canvas.c, it might still be useful. So instead of deleting, the function is now commented.",https://github.com/vurtun/nuklear/commit/f7e79476ee9c82891b7631f337124a2aa98c7fb9
vurtun/nuklear,https://github.com/vurtun/nuklear,c52193b,crazyBaboon,2019-09-30T22:58:37Z,"icon_load() function not used  This function was not used in this file, so... removed.",https://github.com/vurtun/nuklear/commit/c52193b3f26a7d44bb1a7e0f40a408cb2c2c216b
vurtun/nuklear,https://github.com/vurtun/nuklear,3e13d36,dumblob,2019-09-22T22:39:16Z,Merge pull request #912 from eax0r/travis-fix  fix Travis not running due to missing package repositories,https://github.com/vurtun/nuklear/commit/3e13d3667878747dcddc3fe970cf33e6fdae204e
vurtun/nuklear,https://github.com/vurtun/nuklear,250dd4e,eax0r,2019-09-22T21:42:29Z,No need to build GLFW,https://github.com/vurtun/nuklear/commit/250dd4eb97745de20c9b7d132bd8c1ef84940243
vurtun/nuklear,https://github.com/vurtun/nuklear,e0d7073,eax0r,2019-09-22T17:53:02Z,Travis: Fix  Travis CI should build ok now. It was not able to fetch the pyglfw repository.,https://github.com/vurtun/nuklear/commit/e0d7073821bc8126a898dd8aef2e15c74be05d34
vurtun/nuklear,https://github.com/vurtun/nuklear,51f793b,dumblob,2019-09-20T20:55:58Z,Merge pull request #909 from eax0r/master  Minor changelog formatting adjustments,https://github.com/vurtun/nuklear/commit/51f793b40d913b547559ae619d53b84afcde111d
vurtun/nuklear,https://github.com/vurtun/nuklear,385c646,eax0r,2019-09-20T16:51:30Z,Update nuklear.html,https://github.com/vurtun/nuklear/commit/385c646e3d442121227f2f303df2f0e3526fcf27
vurtun/nuklear,https://github.com/vurtun/nuklear,c196d53,eax0r,2019-09-20T16:47:27Z,Update nuklear.h,https://github.com/vurtun/nuklear/commit/c196d5396ca4b27a59df83a2fffe1972fd25fe8c
vurtun/nuklear,https://github.com/vurtun/nuklear,cda6272,eax0r,2019-09-20T16:44:07Z,Update CHANGELOG,https://github.com/vurtun/nuklear/commit/cda62724c62924949ae1273f42f3931539639a5b
vurtun/nuklear,https://github.com/vurtun/nuklear,df60f55,dumblob,2019-09-20T16:04:41Z,Merge pull request #761 from sukhchainn/patch-2  Remove superfluous #include <math.h>,https://github.com/vurtun/nuklear/commit/df60f5590d1f2c4411932745ad72163bc1216665
vurtun/nuklear,https://github.com/vurtun/nuklear,1b3a5f1,dumblob,2019-09-20T15:50:44Z,Merge pull request #908 from eax0r/master  Fix a bug wherein combobox cannot be closed by clicking the header + Update documentation link to use Statically (CLEAN),https://github.com/vurtun/nuklear/commit/1b3a5f119965df83784c1c0b5de43540458b7757
vurtun/nuklear,https://github.com/vurtun/nuklear,52001b0,eax0r,2019-09-20T15:12:07Z,"Update documentation link to use Statically  RawGit has reached the end of its useful life, and will eventually be closed in October of 2019. After some comparisons Staticaly seems to be the most suitable for production needs.  Official RawGit post: https://t.co/CeGyg052Q9",https://github.com/vurtun/nuklear/commit/52001b0d5f524efc4f4eb0be6deba3743a7b3266
vurtun/nuklear,https://github.com/vurtun/nuklear,5c4618f,eax0r,2019-09-20T02:22:45Z,Update nuklear.h,https://github.com/vurtun/nuklear/commit/5c4618fc57ef8b574e2ff1324b733b092b28b7c7
vurtun/nuklear,https://github.com/vurtun/nuklear,5e6cdbc,eax0r,2019-09-20T01:45:06Z,Update package.json,https://github.com/vurtun/nuklear/commit/5e6cdbc4329ceb46b5cb5052ef7d5b6836c807df
vurtun/nuklear,https://github.com/vurtun/nuklear,acff985,eax0r,2019-09-20T01:44:40Z,Update CHANGELOG,https://github.com/vurtun/nuklear/commit/acff9850d8f27778844eba24de4f5718b4b32a2b
