项目名称,项目URL,提交ID,提交者,提交时间,提交信息,提交链接
wazuh/wazuh,https://github.com/wazuh/wazuh,6d0f7a2,Nico Stefani,2025-12-05T15:25:27Z,Merge pull request #33276 from wazuh/enhancement/33211-migrate-legacy-agents-4.x  Update legacy agent versions in the environment,https://github.com/wazuh/wazuh/commit/6d0f7a2df9b76b2976a3b2e5396866f85b66a1e9
wazuh/wazuh,https://github.com/wazuh/wazuh,ec9b07b,Julian Morales,2025-12-05T14:57:34Z,Merge pull request #33373 from wazuh/change/33364-remove-mappings-template  Remove deprecated mappings.template and emit properties-only mapping,https://github.com/wazuh/wazuh/commit/ec9b07bd386148703d1a879b9cbe81311ec8f42f
wazuh/wazuh,https://github.com/wazuh/wazuh,d776bac,Tomás Turina,2025-12-05T14:19:25Z,Merge pull request #33249 from wazuh/enhancement/32649-agents-delete-states  Delete agents states on agents removal,https://github.com/wazuh/wazuh/commit/d776bac6f196651dbec89b687eac4633ece358b4
wazuh/wazuh,https://github.com/wazuh/wazuh,ecbfd37,Nico Stefani,2025-12-05T14:19:20Z,Merge pull request #33359 from wazuh/enhancement/33333-api-framework-remove-engine-cm  Remove engine content management-related resources from the framework and API,https://github.com/wazuh/wazuh/commit/ecbfd37047affedc21fe1fb26a5a711a4731e553
wazuh/wazuh,https://github.com/wazuh/wazuh,b6d6a70,Matias Garcia,2025-12-03T21:25:51Z,remove deprecated mappings.template and emit properties-only mapping,https://github.com/wazuh/wazuh/commit/b6d6a70f4f73d384a8832630bab433f57230c26f
wazuh/wazuh,https://github.com/wazuh/wazuh,956e37d,Vikman Fernandez-Castro,2025-12-05T11:33:17Z,Merge pull request #33345 from wazuh/enhancement/33301-remove-ppc64-arch  Remove PPC64LE support from Agent 5.0,https://github.com/wazuh/wazuh/commit/956e37d5e425805c7fb0e7d5f3816c2ff2818fac
wazuh/wazuh,https://github.com/wazuh/wazuh,094c9e7,Vikman Fernandez-Castro,2025-12-05T09:48:22Z,Merge pull request #33318 from wazuh/enhancement/32176-implement-module-recovery-flow-in-sca  Implement module recovery flow in SCA,https://github.com/wazuh/wazuh/commit/094c9e7da290ed8303465cba6d374c74f5269095
wazuh/wazuh,https://github.com/wazuh/wazuh,7f3c8d8,jr0me,2025-12-04T19:44:22Z,docs: add SCA module recovery flow documentation  Document the automatic recovery capabilities added to the SCA module: - Recovery flow description in architecture.md with ASCII diagram - integrity_interval configuration parameter (default: 86400s) - sca_metadata table schema for tracking last_integrity_check,https://github.com/wazuh/wazuh/commit/7f3c8d880443d0bcd92216776e0bc35ab7d556ef
wazuh/wazuh,https://github.com/wazuh/wazuh,13bfeb1,jr0me,2025-12-04T19:35:40Z,feat: update integrity interval to 86400 seconds for improved data consistency,https://github.com/wazuh/wazuh/commit/13bfeb12a9629bdcf9048b0369aaaa4e10596af1
wazuh/wazuh,https://github.com/wazuh/wazuh,fdca92c,Vikman Fernandez-Castro,2025-12-04T16:15:53Z,"Revert ""Open an issue titled ""Spike: Investigate State Persistence and Metadata Unification for Vuln Detector""""  This reverts commit 4f835d2033ccf72be863bedce0d9851596738b79.",https://github.com/wazuh/wazuh/commit/fdca92ce3d3216c871cbb2acd331df4dc3194961
wazuh/wazuh,https://github.com/wazuh/wazuh,84a2616,Vikman Fernandez-Castro,2025-12-04T16:15:42Z,"Revert ""Opening an issue regarding Windows Agent integration test failure""  This reverts commit 349339abce2aaa80d382637297dd6c06f518fa07.",https://github.com/wazuh/wazuh/commit/84a2616b42242dbba4613c64ac53a2eadc2ea63e
wazuh/wazuh,https://github.com/wazuh/wazuh,699b7a7,Vikman Fernandez-Castro,2025-12-04T16:15:26Z,"Revert ""Create a new issue for exploratory test on agent behavior in Rocky Linux 9""  This reverts commit fed1c7447be5752c9d4b6ae787525e697ec2fe7e.",https://github.com/wazuh/wazuh/commit/699b7a7158007586934a24d09ee04020a02720d4
wazuh/wazuh,https://github.com/wazuh/wazuh,3466ab6,jnasselle,2025-12-04T12:28:28Z,Fix validate_wazuh_xml and ut,https://github.com/wazuh/wazuh/commit/3466ab666a73df0d3f28f0d72d9f728e88223d23
wazuh/wazuh,https://github.com/wazuh/wazuh,3c09766,jnasselle,2025-12-04T12:28:08Z,Remove unused schema from API spec,https://github.com/wazuh/wazuh/commit/3c097664938b54303de60af1fe60e02a85985f43
wazuh/wazuh,https://github.com/wazuh/wazuh,35c3eae,javier,2025-12-04T11:29:16Z,Adjust endpoints for 4.x agents,https://github.com/wazuh/wazuh/commit/35c3eae8837a1e4c6f32b6f159f285e8ea5e8bee
wazuh/wazuh,https://github.com/wazuh/wazuh,51cd9f5,jnasselle,2025-12-04T11:12:11Z,Adapt API IT,https://github.com/wazuh/wazuh/commit/51cd9f58a355b690c00f6a45b5d210a8ba1994bb
wazuh/wazuh,https://github.com/wazuh/wazuh,7c12fa5,jnasselle,2025-12-03T18:46:47Z,Several changes  - Remove more files - Adapt checkfiles - Adapt specs,https://github.com/wazuh/wazuh/commit/7c12fa51591179bc035da243e2e8cdb62117e1cc
wazuh/wazuh,https://github.com/wazuh/wazuh,6f05c28,javier,2025-12-02T12:04:56Z,Add certs to env,https://github.com/wazuh/wazuh/commit/6f05c28cf285c8fd40092bad6decd3e23f575f00
wazuh/wazuh,https://github.com/wazuh/wazuh,b11a923,jnasselle,2025-12-03T15:21:05Z,Fix remaining cleanup and adapt UT,https://github.com/wazuh/wazuh/commit/b11a923fdc389e7b64eed9a37d7e51be39abfd07
wazuh/wazuh,https://github.com/wazuh/wazuh,aa27ed0,Tomas Turina,2025-12-02T21:15:44Z,fix: start inventory sync before database module,https://github.com/wazuh/wazuh/commit/aa27ed011113d75ef4e4317020d3b030c86ad1ca
wazuh/wazuh,https://github.com/wazuh/wazuh,96371cf,jr0me,2025-12-02T18:11:20Z,feat: enhance stringToJsonArray to trim all whitespace characters and add comprehensive unit tests,https://github.com/wazuh/wazuh/commit/96371cf7f94f419de198e41ce42af91a6b65b4d5
wazuh/wazuh,https://github.com/wazuh/wazuh,c2bca5e,jr0me,2025-12-02T17:58:57Z,feat: implement escapeSqlString function and add unit tests,https://github.com/wazuh/wazuh/commit/c2bca5e3ce5bac89e979f0242ca9c70eb78085a2
wazuh/wazuh,https://github.com/wazuh/wazuh,60d3bb2,jr0me,2025-12-02T01:21:21Z,"test: add unit tests for SCA recovery utils to improve coverage  Refactor recovery helper functions to sca_recovery_utils.hpp for testability. Add comprehensive unit tests for stringToJsonArray, normalizeCheckForStateful, normalizePolicyForStateful, getPolicyById, and buildStatefulMessage.",https://github.com/wazuh/wazuh/commit/60d3bb20d596ac491fba7c2e5c308783305c40a0
wazuh/wazuh,https://github.com/wazuh/wazuh,de46a47,jr0me,2025-12-01T19:45:49Z,refactor: improve string handling and normalization in SCA module,https://github.com/wazuh/wazuh/commit/de46a4749cebdd2e2c5753c324f687b73d41932d
wazuh/wazuh,https://github.com/wazuh/wazuh,eb09c46,jr0me,2025-12-01T19:42:18Z,"fix: use proper stateful message format in SCA recovery  Transform raw database JSON to hierarchical format required by indexer, matching the delta sync format with checksum, check, policy, and state objects.",https://github.com/wazuh/wazuh/commit/eb09c46a2d95fd022ba7e8f95220b0ec462400ee
wazuh/wazuh,https://github.com/wazuh/wazuh,80bf8e7,jr0me,2025-12-01T14:53:25Z,fix: change log level to error for missing id or version in recovery check,https://github.com/wazuh/wazuh/commit/80bf8e720c9be29e786367066adf5a0bd9f4afe6
wazuh/wazuh,https://github.com/wazuh/wazuh,c4d3e51,jr0me,2025-11-28T16:18:14Z,fix: sformat on SCA,https://github.com/wazuh/wazuh/commit/c4d3e51b2a7800f8347519453135dd48cf1f278c
wazuh/wazuh,https://github.com/wazuh/wazuh,5ba0ed3,jr0me,2025-11-28T03:04:04Z,feat: improve logging for recovery check in SCA module,https://github.com/wazuh/wazuh/commit/5ba0ed3707b229094c1cfaf9a371a10f09469f0b
wazuh/wazuh,https://github.com/wazuh/wazuh,17fa902,jr0me,2025-11-28T02:55:14Z,fix: tests,https://github.com/wazuh/wazuh/commit/17fa902adc30067d96971729be819080f7c0325d
wazuh/wazuh,https://github.com/wazuh/wazuh,b476307,jr0me,2025-11-28T02:49:46Z,feat: enhance SCA module with integrity interval configuration in sync parameters,https://github.com/wazuh/wazuh/commit/b4763079f185ed3ee1febf16f6cc2c15f42d5b5c
wazuh/wazuh,https://github.com/wazuh/wazuh,44affc5,jr0me,2025-11-27T02:12:36Z,feat: add SCA recovery tests and coverage wiring,https://github.com/wazuh/wazuh/commit/44affc5c9660e6b4b69aff4adcb35c2ded094fb2
wazuh/wazuh,https://github.com/wazuh/wazuh,1725ded,jr0me,2025-11-27T02:12:35Z,feat: integrate integrity checks into SCA sync loop,https://github.com/wazuh/wazuh/commit/1725dedd9f6796a82baf76c9a00c9a445c52ae6c
wazuh/wazuh,https://github.com/wazuh/wazuh,abc1700,jr0me,2025-11-27T02:12:35Z,feat: expose SCA integrity interval configuration,https://github.com/wazuh/wazuh/commit/abc1700c856f8615b31dd185ab7a993c7e3638ce
wazuh/wazuh,https://github.com/wazuh/wazuh,7e8d6f4,jr0me,2025-11-27T02:12:35Z,feat: add SCA integrity and recovery core,https://github.com/wazuh/wazuh/commit/7e8d6f46fbff7a420461adc7f662b3f3d0d52ed2
wazuh/wazuh,https://github.com/wazuh/wazuh,8f47ed2,jr0me,2025-11-27T02:12:35Z,feat(sca): add integrity_interval configuration parameter  Add support for integrity_interval configuration parameter in SCA module synchronization section. This parameter controls the frequency of integrity checks for recovery flow implementation.,https://github.com/wazuh/wazuh/commit/8f47ed21e4e694ff3a79fec17842f3c0d464fc55
wazuh/wazuh,https://github.com/wazuh/wazuh,b4ea366,jnasselle,2025-12-02T19:12:11Z,The big removal: remove ruleset from API/Framework,https://github.com/wazuh/wazuh/commit/b4ea366a9d4a2263d53d8a539caf328356fa738d
wazuh/wazuh,https://github.com/wazuh/wazuh,43db757,Tomas Turina,2025-11-20T19:54:59Z,feat: add logic to delete agents states on agent removeal,https://github.com/wazuh/wazuh/commit/43db7574f23afe3d6dd29baa4abdb84a2bb579f3
wazuh/wazuh,https://github.com/wazuh/wazuh,ecee110,javier,2025-12-02T12:04:56Z,Add certs to env,https://github.com/wazuh/wazuh/commit/ecee11063edb3cd3f8310f6b7ae484c340925c4d
wazuh/wazuh,https://github.com/wazuh/wazuh,fa1c79f,Christian Borla,2025-12-02T12:17:03Z,Merge pull request #33336 from wazuh/enhancement/33039-macos-14-migration-5x  Migrate 5.x GitHub Actions workflows from macOS 13 to macOS 14,https://github.com/wazuh/wazuh/commit/fa1c79ff8e6808fd8fcad23d164bd88153409b7b
wazuh/wazuh,https://github.com/wazuh/wazuh,84ed917,javier,2025-12-02T09:29:19Z,Change version in endpoints,https://github.com/wazuh/wazuh/commit/84ed9171c1a6d5807ef2e8f4ec47ce74ce00c6e8
wazuh/wazuh,https://github.com/wazuh/wazuh,75a0321,javier,2025-12-02T08:33:47Z,Merge branch 'main' into enhancement/33211-migrate-legacy-agents-4.x,https://github.com/wazuh/wazuh/commit/75a03213f9c21a7c06ed21b42a8b6218a804019b
wazuh/wazuh,https://github.com/wazuh/wazuh,727e57a,cborla,2025-12-02T02:14:34Z,fix: migrate 5.x GitHub Actions workflows from macOS 13 to macOS 14,https://github.com/wazuh/wazuh/commit/727e57a0259599d6aa7cdbd3abac05fd4cb76234
wazuh/wazuh,https://github.com/wazuh/wazuh,e4ef9b2,Vikman Fernandez-Castro,2025-12-01T16:26:13Z,ci(docker): remove ppc64le images from registry retag script  - Remove pkg_deb_agent_builder_ppc64le from IMAGES_LIST - Remove pkg_rpm_agent_builder_ppc64le from IMAGES_LIST,https://github.com/wazuh/wazuh/commit/e4ef9b217d0d50b069e58bdefa83585dcdf725f2
wazuh/wazuh,https://github.com/wazuh/wazuh,09143f3,Vikman Fernandez-Castro,2025-12-01T16:26:08Z,"ci: remove ppc64le from 5.X package building workflows  - Remove pkg_deb_agent_builder_ppc64le filter and job - Remove pkg_rpm_agent_builder_ppc64le filter and job - Update workflows to only trigger for amd64, i386, arm64, and armhf - 4.X workflows intentionally left unchanged for backwards compatibility",https://github.com/wazuh/wazuh/commit/09143f34b14960d682f558c5885c1b686e0bf988
