项目名称,项目URL,提交ID,提交者,提交时间,提交信息,提交链接
wg/wrk,https://github.com/wg/wrk,a211dd5,Will,2021-02-05T23:39:55Z,upgrade openssl to 1.1.1i,https://github.com/wg/wrk/commit/a211dd5a7050b1f9e8a9870b95513060e72ac4a0
wg/wrk,https://github.com/wg/wrk,2d433a9,Will,2021-02-05T23:38:22Z,build bytecode.o from C source,https://github.com/wg/wrk/commit/2d433a9b43cfdabe4a76a29a4a352b6eb93be3a2
wg/wrk,https://github.com/wg/wrk,2221a30,Will,2021-02-05T23:26:51Z,upgrade luajit to v2.1 branch (ec6edc5),https://github.com/wg/wrk/commit/2221a304059ad1ac5a2055cbf51eb4ec652feafd
wg/wrk,https://github.com/wg/wrk,c769850,Will,2021-02-07T06:54:17Z,configure github actions,https://github.com/wg/wrk/commit/c7698504a9c8ea6dfdb3b6958af7fbe1adbc21eb
wg/wrk,https://github.com/wg/wrk,0896020,Will,2019-04-18T01:51:16Z,add azure & circleci configs,https://github.com/wg/wrk/commit/0896020a2a28b84b1150e9b60933b746fe1dc761
wg/wrk,https://github.com/wg/wrk,9f72145,Will,2019-04-18T01:48:58Z,fix library linking order,https://github.com/wg/wrk/commit/9f7214502a7cd095c9d006c1c9d4e1eedb94d900
wg/wrk,https://github.com/wg/wrk,1091676,Will,2019-04-17T11:04:18Z,upgrade openssl to 1.1.1b,https://github.com/wg/wrk/commit/10916767724e3e7d522f1979def9f5d3174c69a3
wg/wrk,https://github.com/wg/wrk,0bbe32c,Will,2019-04-17T11:02:40Z,define MACOSX_DEPLOYMENT_TARGET on macos,https://github.com/wg/wrk/commit/0bbe32c2f8cb5662615b0ad742ba540e845d2154
wg/wrk,https://github.com/wg/wrk,7594a95,Will,2018-01-21T06:00:58Z,define _DEFAULT_SOURCE on linux,https://github.com/wg/wrk/commit/7594a95186ebdfa7cb35477a8a811f84e2a31b62
wg/wrk,https://github.com/wg/wrk,a5d9db0,Will,2018-01-21T05:47:53Z,upgrade openssl to 1.1.0g,https://github.com/wg/wrk/commit/a5d9db0bd0fbd48c7e247557bd3c04508d09ef1b
wg/wrk,https://github.com/wg/wrk,c080834,Will,2018-01-21T05:47:22Z,upgrade LuaJIT to 2.1.0-beta3,https://github.com/wg/wrk/commit/c080834bc2d8c4945aa640d73e36338e4bfc6dbf
wg/wrk,https://github.com/wg/wrk,b9a832a,Will,2018-01-21T05:15:56Z,update zmalloc and http_parser,https://github.com/wg/wrk/commit/b9a832a7e0a512d7891ed239e8c58cafe207e0af
wg/wrk,https://github.com/wg/wrk,9d71b2f,Will,2018-01-21T05:05:34Z,make lua imports version independent,https://github.com/wg/wrk/commit/9d71b2f6dd7371daed8fec7a316f9ae52ab903ca
wg/wrk,https://github.com/wg/wrk,91655b5,Will,2017-02-05T05:43:13Z,"update ae, zmalloc & http_parser",https://github.com/wg/wrk/commit/91655b5520b524fc0b802ad12220c9dcd546757e
wg/wrk,https://github.com/wg/wrk,45e4625,Will,2017-02-05T05:05:52Z,require openssl 1.1.0+,https://github.com/wg/wrk/commit/45e4625353d293266a16322b1f00d47ada84963a
wg/wrk,https://github.com/wg/wrk,50305ed,Will,2016-03-26T00:18:07Z,send hostname in TLS SNI extension,https://github.com/wg/wrk/commit/50305ed1d89408c26067a970dcd5d9dbea19de9d
wg/wrk,https://github.com/wg/wrk,040db59,Will,2016-03-20T08:03:36Z,generate version from git describe,https://github.com/wg/wrk/commit/040db59768d54e5957697a0e29306fe5ff220928
wg/wrk,https://github.com/wg/wrk,bc6f679,Will,2016-03-20T07:26:48Z,support using system openssl & luajit,https://github.com/wg/wrk/commit/bc6f6797c489d93f56bc5adbf55eecfb54590b98
wg/wrk,https://github.com/wg/wrk,29b1848,Will,2016-03-20T06:55:25Z,refactor dependencies & bundle openssl,https://github.com/wg/wrk/commit/29b1848551623f8233d016baf8d1664cbbe2ed9e
wg/wrk,https://github.com/wg/wrk,03dc368,Will,2015-11-04T12:59:11Z,fix bug in lua table copying,https://github.com/wg/wrk/commit/03dc368674402f4b26a862f941f29887d06fd564
wg/wrk,https://github.com/wg/wrk,8bf0b2e,Will,2015-11-04T12:40:57Z,handle unexpected EOF as error,https://github.com/wg/wrk/commit/8bf0b2e3d34a4c0fca3fbd013b675d29794ce0a5
wg/wrk,https://github.com/wg/wrk,7cdede9,Will,2015-05-16T11:03:12Z,upgrade LuaJIT to 2.0.4,https://github.com/wg/wrk/commit/7cdede916a53da253c995767a92eec36a245a2cc
wg/wrk,https://github.com/wg/wrk,0f8016c,Will,2015-05-08T05:54:10Z,add optional delay() script function,https://github.com/wg/wrk/commit/0f8016c907a7fdebde2e670489057681c73a09aa
wg/wrk,https://github.com/wg/wrk,a209691,Will,2015-03-24T10:03:52Z,remove dependency on unspecified behavior,https://github.com/wg/wrk/commit/a20969192f7bc095ad3ad3e238a9a581e64ae4f9
wg/wrk,https://github.com/wg/wrk,051c35f,Will,2015-03-18T12:18:33Z,add defines and includes for solaris,https://github.com/wg/wrk/commit/051c35fca69ef2eacf154e8a123786e42f480cce
wg/wrk,https://github.com/wg/wrk,eb165ce,Will,2015-03-15T05:08:55Z,prepare wrk 4.0.0 release,https://github.com/wg/wrk/commit/eb165ce430943cc641e135dec7b8f9f7c5503a68
wg/wrk,https://github.com/wg/wrk,ef6a836,Will,2015-02-21T02:31:44Z,remove calibration & improve CO correction,https://github.com/wg/wrk/commit/ef6a836b7d41cdbe8dae27d81d43f2d03a1665ef
wg/wrk,https://github.com/wg/wrk,57f3b33,Will,2015-02-15T05:01:35Z,simplify script state setup,https://github.com/wg/wrk/commit/57f3b33f4f0430331447665f6f70f2a4c36cb6c0
wg/wrk,https://github.com/wg/wrk,5158fc1,Will,2015-02-11T11:11:41Z,remove obsoleted timeout check,https://github.com/wg/wrk/commit/5158fc18d6c4d26434ed49a87de52ea466dbccb1
wg/wrk,https://github.com/wg/wrk,39af03f,Will,2015-02-11T02:31:55Z,eliminate sampling and record all data,https://github.com/wg/wrk/commit/39af03f7ba30333aed173db9833340278ac223b6
wg/wrk,https://github.com/wg/wrk,9b84d3e,Will,2015-02-07T08:03:17Z,add script setup() and thread methods,https://github.com/wg/wrk/commit/9b84d3e1a44df104d158465b39f6a4e4ff3fc8f9
wg/wrk,https://github.com/wg/wrk,6f0aa32,Will,2015-02-07T05:08:30Z,move address resolution into lua,https://github.com/wg/wrk/commit/6f0aa32ede58ce82b5dfe591b711b00f9b5f1054
wg/wrk,https://github.com/wg/wrk,93348e2,Will,2015-02-07T01:35:21Z,add CHANGES file and simplify script init,https://github.com/wg/wrk/commit/93348e28147b085b1003f88b62e16422593976ab
wg/wrk,https://github.com/wg/wrk,db6da47,Will,2015-02-07T00:38:41Z,update LICENSE redistribution terms,https://github.com/wg/wrk/commit/db6da47fe3ee604d70304c8d10896f8349b972da
wg/wrk,https://github.com/wg/wrk,a52c770,Will,2015-01-31T05:54:36Z,start request timer before first write,https://github.com/wg/wrk/commit/a52c770204a732aa63e1bb6eb241a70949e3a2a9
wg/wrk,https://github.com/wg/wrk,b843194,Will,2015-01-31T05:44:54Z,use correct type for getopt_long result,https://github.com/wg/wrk/commit/b8431944edfd122f91ab8879a8d9c3f29a7d880c
wg/wrk,https://github.com/wg/wrk,522ec60,Will,2015-01-31T05:33:27Z,pass EOF through to parser,https://github.com/wg/wrk/commit/522ec607f824f1928e3e0d0f02bf126117a93cb2
wg/wrk,https://github.com/wg/wrk,6c15549,Will,2015-01-31T02:55:31Z,update http parser to 2.4.2,https://github.com/wg/wrk/commit/6c15549e77b15b2958afd5c56c964e1efc9dab18
