项目名称,项目URL,提交ID,提交者,提交时间,提交信息,提交链接
woltapp/blurhash,https://github.com/woltapp/blurhash,712a47f,Mathis Møller,2024-05-21T11:49:45Z,Merge pull request #252 from woltapp/privacy-please  Privacy please,https://github.com/woltapp/blurhash/commit/712a47f946b98c30097eb1ada086ea00b18681ec
woltapp/blurhash,https://github.com/woltapp/blurhash,2de102d,Mathis Møller,2024-05-21T11:47:16Z,formatting,https://github.com/woltapp/blurhash/commit/2de102d198edd2a78808f9c67112745cdc1dc93f
woltapp/blurhash,https://github.com/woltapp/blurhash,a8cc1c4,Mathis Møller,2024-05-21T10:59:15Z,Privacy please,https://github.com/woltapp/blurhash/commit/a8cc1c4cd59026250803745e1ddb10bd71cb5a88
woltapp/blurhash,https://github.com/woltapp/blurhash,0a1f978,Jerry Pussinen,2024-02-01T06:37:52Z,Merge pull request #250 from folksable/master  Added Dart impl. in C,https://github.com/woltapp/blurhash/commit/0a1f97898d9eb8952bc528cd7a8ec73d9fecf5d0
woltapp/blurhash,https://github.com/woltapp/blurhash,9c2f4da,Dhikshith,2024-01-31T10:06:36Z,Remove submodule: ./Dart,https://github.com/woltapp/blurhash/commit/9c2f4da13f2c18bbf6b82a1d767f413f022a8d28
woltapp/blurhash,https://github.com/woltapp/blurhash,29c9a19,Dhikshith,2024-01-29T20:47:23Z,Added Dart impl. in C,https://github.com/woltapp/blurhash/commit/29c9a19a180e1cbb15b6c66ddab388f7e2981a74
woltapp/blurhash,https://github.com/woltapp/blurhash,84a1ddc,Jerry Pussinen,2024-01-15T13:13:24Z,Merge pull request #203 from m1ga/master  Add Titanium SDK,https://github.com/woltapp/blurhash/commit/84a1ddcc20f623a84108b37f8b60dd3c344a09c1
woltapp/blurhash,https://github.com/woltapp/blurhash,d9acddb,Jerry Pussinen,2024-01-15T13:13:04Z,Merge branch 'master' into master,https://github.com/woltapp/blurhash/commit/d9acddb3fb93366cda151156a45b3423ffab1648
woltapp/blurhash,https://github.com/woltapp/blurhash,24b6313,Jerry Pussinen,2024-01-15T13:10:11Z,Merge pull request #219 from dancek/patch-1  Readme: add BQN implementation,https://github.com/woltapp/blurhash/commit/24b63137e0b2bafffc00743d384f26e961dcc509
woltapp/blurhash,https://github.com/woltapp/blurhash,7c2001d,Jerry Pussinen,2024-01-15T13:09:35Z,Merge branch 'master' into patch-1,https://github.com/woltapp/blurhash/commit/7c2001da519ba0b5723eb804cbb1206901d31f5c
woltapp/blurhash,https://github.com/woltapp/blurhash,bfb7043,Jerry Pussinen,2024-01-15T13:04:13Z,Merge pull request #246 from ushitora-anqou/patch-1  Add OCaml encoder in README,https://github.com/woltapp/blurhash/commit/bfb70431480bcd07b51fcdd5c1f5b341c49e680f
woltapp/blurhash,https://github.com/woltapp/blurhash,8ca72da,Jerry Pussinen,2024-01-15T13:03:29Z,Merge pull request #249 from wzyboy/docs/jellyfin  docs: add Jellyfin as a use case to README,https://github.com/woltapp/blurhash/commit/8ca72da6822e036fe0454c79189fb8a0a4eed425
woltapp/blurhash,https://github.com/woltapp/blurhash,211bbe4,Zhuoyun Wei,2023-11-29T18:28:22Z,docs: add Jellyfin as a use case to README,https://github.com/woltapp/blurhash/commit/211bbe4bac560abf732b98564d9ddff3dc196517
woltapp/blurhash,https://github.com/woltapp/blurhash,2bd8406,Ryotaro Banno,2023-09-13T11:28:46Z,Add OCaml encoder in README,https://github.com/woltapp/blurhash/commit/2bd8406302ef796dd8d53e86b42b55deaf9566f4
woltapp/blurhash,https://github.com/woltapp/blurhash,067f9c7,Jerry Pussinen,2023-09-07T05:09:58Z,Merge pull request #243 from benharvie/master  Create SECURITY.md,https://github.com/woltapp/blurhash/commit/067f9c7b8e2c1434f8d3ce24620804b36c9441d4
woltapp/blurhash,https://github.com/woltapp/blurhash,c9d7793,Ben Harvie,2023-09-07T04:25:50Z,Create SECURITY.md,https://github.com/woltapp/blurhash/commit/c9d779301d3458e925b36e6a115622288d3a1f28
woltapp/blurhash,https://github.com/woltapp/blurhash,a3b542e,Michael Gangolf,2023-06-23T10:42:29Z,Merge branch 'master' into master,https://github.com/woltapp/blurhash/commit/a3b542e84e3d9a2058f5a010f976c5d315eb3099
woltapp/blurhash,https://github.com/woltapp/blurhash,7d87d3e,Mathis Møller,2023-06-05T09:13:02Z,Merge pull request #197 from vanniktech/patch-1  Add Kotlin Multiplatform library,https://github.com/woltapp/blurhash/commit/7d87d3ee351475ba990cb8f361bbc56d2909093e
woltapp/blurhash,https://github.com/woltapp/blurhash,5dd7809,Niklas Baudy,2023-04-01T11:23:28Z,Merge branch 'master' into patch-1,https://github.com/woltapp/blurhash/commit/5dd7809ae068638a43b6c355955b64259e99fe3f
woltapp/blurhash,https://github.com/woltapp/blurhash,f1edb10,Mathis Møller,2023-03-30T12:48:39Z,Merge pull request #228 from Fonger/perf/ts  (TypeScript) Improve decode speed by avoiding re-calculating same cosine value,https://github.com/woltapp/blurhash/commit/f1edb10ba0e0b78c95698488c7665fcb75d69aa2
woltapp/blurhash,https://github.com/woltapp/blurhash,065b960,Mathis Møller,2023-03-30T12:47:35Z,Merge pull request #233 from LorenDB/patch-1  Add Nheko-Reborn/blurhash,https://github.com/woltapp/blurhash/commit/065b960dfea1134316db146efc389bf6ab972fe3
woltapp/blurhash,https://github.com/woltapp/blurhash,cb151ca,Mathis Møller,2023-02-17T12:16:27Z,2.0.5,https://github.com/woltapp/blurhash/commit/cb151cab5b7d9cd3eef624e12e30381c6d292f0d
woltapp/blurhash,https://github.com/woltapp/blurhash,815a09f,Vellu Luoto,2023-02-17T12:06:22Z,Merge pull request #234 from woltapp/exports-browser-require  Add `exports.browser.require`,https://github.com/woltapp/blurhash/commit/815a09fba6a37f7c78fe7e865d2cf08058c7a977
woltapp/blurhash,https://github.com/woltapp/blurhash,a4a918c,Vellu Luoto,2023-02-17T11:58:39Z,Add `exports.browser.require`  This will allow tools like Jest – when used in conjunction with `jest-environment-jsdom` – to grab the CommonJS variant of the package when looking for the browser entry point.  This will make whitelisting blurhash in Jest's [`transformIgnorePatterns`](https://jestjs.io/docs/configuration#transformignorepatterns-arraystring) redundant.,https://github.com/woltapp/blurhash/commit/a4a918c0f5d4cb5608e171fab5be676977046d25
woltapp/blurhash,https://github.com/woltapp/blurhash,3c87b27,Loren Burkholder,2023-02-15T16:58:09Z,Add Nheko-Reborn/blurhash,https://github.com/woltapp/blurhash/commit/3c87b27401191c8aa238b8487cc774e227d3326d
woltapp/blurhash,https://github.com/woltapp/blurhash,fa2ba6b,Mathis Møller,2023-01-31T08:45:39Z,Merge pull request #230 from wajahat-iqbal/patch-1  Jetpack compose implementation,https://github.com/woltapp/blurhash/commit/fa2ba6b8b92041330a92c24ffba97bfdb134c829
woltapp/blurhash,https://github.com/woltapp/blurhash,7264810,Wajahat Iqbal,2023-01-23T20:03:33Z,Update Readme.md,https://github.com/woltapp/blurhash/commit/7264810bd56b7f17023bbb6ba0d923e4c323bdc8
woltapp/blurhash,https://github.com/woltapp/blurhash,d1d4f7b,Wajahat Iqbal,2023-01-23T19:59:56Z,Jetpack compose implementation   An optimized implementation to be used in jetpack composed with any component as a painter.,https://github.com/woltapp/blurhash/commit/d1d4f7b01aad510a264636d08723c7524df45073
woltapp/blurhash,https://github.com/woltapp/blurhash,c747c91,Fonger,2022-12-01T11:57:37Z,Improve decode speed by avoiding re-calculating same cosine value,https://github.com/woltapp/blurhash/commit/c747c919eb142115f9db01ef6a12e1a342711905
woltapp/blurhash,https://github.com/woltapp/blurhash,e98a3e2,Mathis Møller,2022-11-18T07:48:34Z,Merge pull request #224 from woltapp/dependabot/npm_and_yarn/TypeScript/minimatch-3.1.2  Bump minimatch from 3.0.4 to 3.1.2 in /TypeScript,https://github.com/woltapp/blurhash/commit/e98a3e2e99e89ef2f201f8faa1a11189a10fbb19
woltapp/blurhash,https://github.com/woltapp/blurhash,74795dd,dependabot[bot],2022-11-18T07:48:21Z,Bump minimatch from 3.0.4 to 3.1.2 in /TypeScript  Bumps [minimatch](https://github.com/isaacs/minimatch) from 3.0.4 to 3.1.2. - [Release notes](https://github.com/isaacs/minimatch/releases) - [Commits](https://github.com/isaacs/minimatch/compare/v3.0.4...v3.1.2)  --- updated-dependencies: - dependency-name: minimatch   dependency-type: indirect ...  Signed-off-by: dependabot[bot] <support@github.com>,https://github.com/woltapp/blurhash/commit/74795ddfb9cd11c9d689b70e7a9d50e6b1661560
woltapp/blurhash,https://github.com/woltapp/blurhash,1a3ca75,Mathis Møller,2022-11-18T07:47:55Z,Merge pull request #223 from woltapp/dependabot/npm_and_yarn/Website/loader-utils-2.0.4  Bump loader-utils from 2.0.3 to 2.0.4 in /Website,https://github.com/woltapp/blurhash/commit/1a3ca75ecd74ed33b9181a8b250b738f9145341f
woltapp/blurhash,https://github.com/woltapp/blurhash,25fabef,dependabot[bot],2022-11-18T00:30:57Z,Bump loader-utils from 2.0.3 to 2.0.4 in /Website  Bumps [loader-utils](https://github.com/webpack/loader-utils) from 2.0.3 to 2.0.4. - [Release notes](https://github.com/webpack/loader-utils/releases) - [Changelog](https://github.com/webpack/loader-utils/blob/v2.0.4/CHANGELOG.md) - [Commits](https://github.com/webpack/loader-utils/compare/v2.0.3...v2.0.4)  --- updated-dependencies: - dependency-name: loader-utils   dependency-type: indirect ...  Signed-off-by: dependabot[bot] <support@github.com>,https://github.com/woltapp/blurhash/commit/25fabefa3b70a037033b7fd8464cf58c13e2f576
woltapp/blurhash,https://github.com/woltapp/blurhash,3a05e64,Mathis Møller,2022-11-09T11:31:47Z,Merge pull request #221 from woltapp/dependabot/npm_and_yarn/Website/loader-utils-2.0.3  Bump loader-utils from 2.0.2 to 2.0.3 in /Website,https://github.com/woltapp/blurhash/commit/3a05e64f80c5efb32ff4f7c5efbc582c77df2158
woltapp/blurhash,https://github.com/woltapp/blurhash,4acbfa8,dependabot[bot],2022-11-09T11:20:02Z,Bump loader-utils from 2.0.2 to 2.0.3 in /Website  Bumps [loader-utils](https://github.com/webpack/loader-utils) from 2.0.2 to 2.0.3. - [Release notes](https://github.com/webpack/loader-utils/releases) - [Changelog](https://github.com/webpack/loader-utils/blob/v2.0.3/CHANGELOG.md) - [Commits](https://github.com/webpack/loader-utils/compare/v2.0.2...v2.0.3)  --- updated-dependencies: - dependency-name: loader-utils   dependency-type: indirect ...  Signed-off-by: dependabot[bot] <support@github.com>,https://github.com/woltapp/blurhash/commit/4acbfa8bad0740d64cef64a9ce6e3d0d8f0f997c
woltapp/blurhash,https://github.com/woltapp/blurhash,e520cb5,Hannu Hartikainen,2022-11-06T18:34:51Z,Readme: add BQN implementation,https://github.com/woltapp/blurhash/commit/e520cb5bbee23c074346f32abaf1889749203792
woltapp/blurhash,https://github.com/woltapp/blurhash,cec431c,Mathis Møller,2022-10-30T16:18:35Z,Merge pull request #216 from woltapp/add-require-to-export-fields  Add require to export fields,https://github.com/woltapp/blurhash/commit/cec431cc9da518d79e6a05bafa4fc725b01b728c
woltapp/blurhash,https://github.com/woltapp/blurhash,7179af6,Mathis Møller,2022-10-30T16:17:24Z,Add require to export fields,https://github.com/woltapp/blurhash/commit/7179af61735ab0ae52a6f97ece55d23805d16c8f
